drug_id,indication,target,has_positive_efficacy_phrase,has_severe_toxicity_phrase,text_embed_score,molecular_weight,logP,market_size_million,competition_level
D00048,colon_cancer,EGFR,0,0,0.536,448.6,1.83,24.072,11
D00049,breast_cancer,HER2,1,1,0.526,503.7,3.21,38.163,2
D00050,lung_cancer,HER2,1,1,0.422,480.4,2.81,33.339,5
D00051,prostate_cancer,PD1,0,1,0.676,366.8,2.66,9.849,1
D00052,lung_cancer,EGFR,0,0,0.817,452.6,2.36,39.563,5
D00053,melanoma,VEGF,0,1,0.582,467.1,3.32,9.665,2
D00054,colon_cancer,VEGF,0,0,0.577,630.9,3.14,23.398,14
D00055,ovarian_cancer,HER2,0,0,0.832,500.6,2.94,8.857,6
D00056,melanoma,EGFR,0,1,0.791,326.5,2.98,7.059,8
D00057,colon_cancer,VEGF,0,1,0.836,484.8,4.97,27.879,8
D00058,breast_cancer,BRAF,1,1,0.553,464.6,3.24,35.907,8
D00059,breast_cancer,EGFR,0,1,0.564,477.2,2.07,37.287,9
D00060,colon_cancer,HER2,1,1,0.87,571.4,3.6,16.73,9
D00061,breast_cancer,ALK,1,0,0.454,543.3,2.27,28.691,11
D00062,melanoma,ALK,0,1,0.85,592.2,1.88,5.95,2
D00063,prostate_cancer,mTOR,0,0,0.582,526.9,4.75,6.63,11
D00064,ovarian_cancer,PD1,0,1,0.654,400.8,2.55,7.001,11
D00065,melanoma,HER2,1,0,0.496,488.0,2.6,8.325,13
D00066,prostate_cancer,HER2,0,1,0.603,355.9,3.05,13.504,10
D00067,colon_cancer,VEGF,1,1,0.632,395.0,3.38,21.632,7
D00068,ovarian_cancer,mTOR,0,0,0.542,406.4,4.24,6.983,20
D00069,colon_cancer,EGFR,0,1,0.512,417.3,2.74,17.987,1
D00070,lung_cancer,VEGF,1,0,0.628,545.1,2.02,47.153,19
D00071,breast_cancer,HER2,1,1,0.6,498.2,4.05,22.951,1
D00072,lung_cancer,BRAF,1,0,0.488,351.4,3.15,48.949,17
D00073,melanoma,EGFR,0,0,0.628,500.8,3.63,9.007,17
D00074,ovarian_cancer,ALK,1,1,0.706,381.0,1.94,7.316,17
D00075,melanoma,BRAF,1,0,0.772,521.8,3.24,7.373,9
D00076,breast_cancer,BRAF,1,1,0.713,500.0,3.28,25.492,3
D00077,prostate_cancer,PD1,0,1,0.568,425.6,3.19,14.037,3
D00078,breast_cancer,VEGF,0,1,0.747,503.4,2.43,34.128,3
D00079,melanoma,mTOR,1,1,0.608,629.3,3.38,6.034,14
D00080,melanoma,BRAF,0,1,0.638,384.7,3.53,9.714,10
D00081,melanoma,BRAF,1,0,0.644,402.0,3.63,6.365,16
D00082,lung_cancer,mTOR,1,1,0.762,572.7,2.34,46.013,5
D00083,ovarian_cancer,ALK,0,1,0.696,557.1,3.33,6.978,3
D00084,prostate_cancer,mTOR,0,1,0.491,545.8,4.52,8.341,11
D00085,breast_cancer,mTOR,1,1,0.781,460.4,2.4,27.583,14
D00086,colon_cancer,BRAF,0,1,0.41,408.8,2.35,23.091,12
D00087,breast_cancer,HER2,0,0,0.777,473.8,3.27,38.992,7
D00088,lung_cancer,ALK,0,0,0.463,502.1,3.66,41.736,19
D00089,breast_cancer,mTOR,1,1,0.484,481.0,4.16,32.145,4
D00090,breast_cancer,PD1,0,0,0.864,458.8,5.18,31.516,13
D00091,melanoma,HER2,0,0,0.696,530.1,2.31,9.153,8
D00092,lung_cancer,HER2,1,0,0.798,394.3,3.39,39.148,2
D00093,colon_cancer,ALK,1,1,0.434,462.1,3.57,24.713,1
D00094,melanoma,BRAF,1,0,0.617,517.9,2.94,6.811,15
D00095,prostate_cancer,VEGF,1,0,0.767,412.3,1.79,14.689,9
D00096,ovarian_cancer,BRAF,1,1,0.618,444.3,3.69,7.386,9
D00097,colon_cancer,BRAF,0,0,0.539,497.1,2.0,21.762,15
D00098,ovarian_cancer,ALK,1,1,0.414,493.9,3.31,8.106,6
D00099,melanoma,VEGF,1,1,0.57,409.3,3.12,9.402,9
D00100,ovarian_cancer,EGFR,0,0,0.521,484.7,2.09,5.439,18
D00101,breast_cancer,HER2,1,1,0.624,508.6,3.45,20.345,10
D00102,breast_cancer,mTOR,0,1,0.732,566.6,3.84,27.38,18
D00103,ovarian_cancer,PD1,1,1,0.576,369.8,2.25,5.722,10
D00104,colon_cancer,VEGF,0,0,0.558,521.2,3.41,26.143,6
D00105,breast_cancer,VEGF,1,1,0.762,521.2,6.0,39.532,17
D00106,ovarian_cancer,PD1,0,0,0.548,525.7,3.91,5.165,10
D00107,lung_cancer,HER2,0,1,0.423,556.3,3.52,26.363,10
D00108,prostate_cancer,VEGF,1,0,0.836,454.8,3.61,11.167,16
D00109,melanoma,mTOR,1,0,0.883,418.2,2.81,6.262,16
D00110,lung_cancer,BRAF,0,1,0.646,441.2,3.07,39.426,2
D00111,breast_cancer,VEGF,1,0,0.897,665.2,1.51,22.369,14
D00112,ovarian_cancer,ALK,0,1,0.625,534.9,1.71,5.656,19
D00113,melanoma,PD1,0,0,0.874,442.2,3.87,6.039,7
D00114,colon_cancer,HER2,0,0,0.52,485.1,2.14,23.28,6
D00115,lung_cancer,mTOR,1,1,0.546,422.8,3.54,30.787,10
D00116,prostate_cancer,BRAF,1,0,0.744,421.6,3.17,14.315,19
D00117,prostate_cancer,BRAF,0,1,0.457,483.6,2.48,8.023,5
D00118,colon_cancer,BRAF,0,0,0.43,651.5,3.51,26.889,20
D00119,prostate_cancer,BRAF,1,1,0.462,318.0,3.15,12.198,13
D00120,colon_cancer,ALK,1,1,0.44,427.1,3.68,15.598,14
D00121,prostate_cancer,PD1,1,0,0.446,416.6,2.91,14.657,19
D00122,ovarian_cancer,EGFR,1,0,0.782,520.4,3.69,4.051,17
D00123,prostate_cancer,mTOR,1,0,0.898,384.0,2.73,9.923,16
D00124,lung_cancer,mTOR,1,1,0.567,442.0,2.48,41.753,6
D00125,colon_cancer,mTOR,1,1,0.731,621.2,3.32,21.007,18
D00126,lung_cancer,mTOR,0,1,0.526,379.1,3.73,27.898,13
D00127,ovarian_cancer,BRAF,0,1,0.607,649.8,3.83,4.125,12
D00128,ovarian_cancer,BRAF,1,1,0.78,358.5,2.61,4.221,18
D00129,breast_cancer,PD1,1,1,0.461,581.4,2.43,39.463,20
D00130,breast_cancer,HER2,0,1,0.675,515.5,3.62,31.045,3
D00131,breast_cancer,BRAF,0,1,0.874,405.8,2.95,32.954,5
D00132,melanoma,HER2,1,1,0.608,300.0,2.18,7.412,16
D00133,breast_cancer,mTOR,0,1,0.495,459.8,2.0,31.988,5
D00134,lung_cancer,PD1,1,1,0.867,610.6,1.86,37.693,1
D00135,colon_cancer,HER2,1,1,0.833,444.8,3.1,21.698,16
D00136,colon_cancer,PD1,1,1,0.866,595.3,1.85,28.044,8
D00137,ovarian_cancer,mTOR,0,1,0.422,573.1,3.01,7.468,13
D00138,melanoma,HER2,0,1,0.882,401.5,3.37,5.631,19
D00139,colon_cancer,BRAF,0,1,0.45,495.9,2.52,28.657,1
D00140,prostate_cancer,VEGF,1,0,0.437,485.6,2.69,13.034,9
D00141,colon_cancer,ALK,1,0,0.826,489.1,3.53,27.785,18
D00142,melanoma,PD1,1,0,0.709,606.9,2.01,6.174,10
D00143,breast_cancer,HER2,0,1,0.889,650.6,1.44,35.207,4
D00144,melanoma,VEGF,1,0,0.423,467.9,3.47,8.981,10
D00145,colon_cancer,PD1,1,0,0.522,502.5,2.5,21.181,6
D00146,breast_cancer,VEGF,0,1,0.71,463.4,2.61,24.817,19
D00147,breast_cancer,VEGF,1,1,0.63,432.9,3.68,33.337,15
D00148,colon_cancer,HER2,0,0,0.621,508.6,2.45,20.183,19
D00149,colon_cancer,HER2,1,1,0.628,552.0,3.25,19.532,13
D00150,melanoma,EGFR,0,1,0.686,545.0,3.5,7.874,10
D00151,lung_cancer,BRAF,1,1,0.404,413.7,2.55,46.627,2
D00152,ovarian_cancer,HER2,1,1,0.788,539.8,3.49,4.381,12
D00153,breast_cancer,HER2,0,1,0.739,478.3,3.09,34.419,5
D00154,prostate_cancer,EGFR,0,1,0.794,582.2,2.53,6.3,12
D00155,prostate_cancer,VEGF,0,1,0.563,523.8,2.84,9.74,7
D00156,breast_cancer,BRAF,1,1,0.815,462.6,3.88,25.139,16
D00157,colon_cancer,HER2,1,0,0.634,546.0,3.65,16.129,8
D00158,prostate_cancer,HER2,1,1,0.445,584.4,3.02,9.551,9
D00159,ovarian_cancer,EGFR,1,1,0.736,534.6,2.75,7.034,19
D00160,melanoma,BRAF,1,0,0.737,505.9,2.9,7.357,20
D00161,ovarian_cancer,PD1,0,0,0.718,487.8,3.48,5.786,10
D00162,prostate_cancer,mTOR,0,0,0.423,414.5,4.67,6.335,16
D00163,lung_cancer,EGFR,0,0,0.594,399.5,2.03,34.275,18
D00164,melanoma,ALK,0,1,0.727,572.6,3.63,9.168,20
D00165,melanoma,PD1,0,1,0.509,529.9,3.5,7.223,8
D00166,colon_cancer,EGFR,1,1,0.43,479.0,2.28,19.138,4
D00167,melanoma,EGFR,0,0,0.425,486.1,2.46,6.668,5
D00168,ovarian_cancer,VEGF,0,0,0.693,558.0,2.88,7.878,8
D00169,colon_cancer,BRAF,0,0,0.539,414.0,2.74,29.76,5
D00170,ovarian_cancer,PD1,0,0,0.731,513.0,2.55,3.155,1
D00171,colon_cancer,BRAF,0,1,0.408,414.2,3.19,18.981,5
D00172,prostate_cancer,mTOR,0,0,0.638,499.6,2.59,13.002,17
D00173,ovarian_cancer,EGFR,1,0,0.873,442.3,3.19,3.26,17
D00174,colon_cancer,mTOR,0,0,0.899,364.2,1.87,27.709,14
D00175,prostate_cancer,EGFR,1,1,0.437,422.5,2.83,6.727,20
D00176,breast_cancer,EGFR,0,1,0.712,504.9,4.18,31.707,11
D00177,melanoma,ALK,1,1,0.653,548.6,2.87,7.151,4
D00178,prostate_cancer,HER2,0,1,0.626,478.5,2.2,8.056,11
D00179,melanoma,mTOR,1,0,0.556,478.5,2.77,6.563,9
D00180,colon_cancer,VEGF,1,0,0.446,505.8,2.34,16.28,14
D00181,lung_cancer,HER2,1,0,0.678,521.5,4.23,39.662,18
D00182,ovarian_cancer,PD1,0,1,0.577,471.3,3.32,6.992,14
D00183,prostate_cancer,EGFR,1,1,0.576,535.2,2.68,11.201,7
D00184,breast_cancer,HER2,1,0,0.824,497.9,3.01,27.002,18
D00185,colon_cancer,EGFR,1,0,0.804,487.8,2.38,27.677,20
D00186,ovarian_cancer,HER2,0,1,0.414,482.0,3.4,4.64,10
D00187,colon_cancer,PD1,0,0,0.835,596.1,3.77,23.495,13
D00188,lung_cancer,VEGF,0,0,0.773,652.3,2.39,30.378,14
D00189,melanoma,PD1,0,1,0.556,549.8,3.15,6.622,19
D00190,ovarian_cancer,EGFR,0,0,0.479,655.2,2.35,6.707,3
D00191,colon_cancer,mTOR,1,1,0.704,412.8,2.52,21.213,7
D00192,ovarian_cancer,EGFR,1,1,0.455,310.1,2.58,7.069,19
D00193,melanoma,ALK,1,0,0.51,419.3,3.12,9.922,2
D00194,lung_cancer,VEGF,1,0,0.784,507.3,4.5,44.104,10
D00195,colon_cancer,EGFR,0,1,0.774,556.0,2.54,17.635,13
D00196,ovarian_cancer,HER2,0,1,0.436,408.1,3.39,8.171,2
D00197,melanoma,EGFR,1,0,0.831,374.4,4.47,7.879,19
D00198,melanoma,HER2,1,1,0.458,574.4,2.62,5.104,11
D00199,breast_cancer,BRAF,1,1,0.444,342.9,4.08,36.89,8
D00200,melanoma,ALK,1,0,0.598,470.8,3.99,6.551,11
D00201,breast_cancer,PD1,0,0,0.655,352.4,2.52,22.281,17
D00202,breast_cancer,BRAF,1,1,0.764,480.4,3.04,36.379,5
D00203,breast_cancer,EGFR,0,1,0.499,444.0,3.5,32.048,3
D00204,breast_cancer,BRAF,1,1,0.777,394.6,2.89,35.198,15
D00205,prostate_cancer,ALK,1,1,0.475,489.6,3.41,6.615,15
D00206,prostate_cancer,PD1,1,0,0.576,536.9,2.1,6.668,15
D00207,melanoma,EGFR,0,1,0.816,357.3,4.02,5.384,3
D00208,ovarian_cancer,ALK,1,1,0.69,506.6,2.4,8.725,2
D00209,melanoma,BRAF,0,1,0.703,604.1,3.09,7.507,2
D00210,melanoma,EGFR,1,0,0.652,574.3,3.05,5.863,8
D00211,prostate_cancer,mTOR,1,0,0.582,644.9,4.4,14.261,13
D00212,melanoma,BRAF,1,0,0.795,460.1,3.78,8.237,3
D00213,colon_cancer,EGFR,1,1,0.526,531.6,4.09,27.773,20
D00214,breast_cancer,PD1,0,0,0.858,402.8,3.55,26.205,13
D00215,breast_cancer,ALK,0,1,0.679,564.7,1.59,32.87,11
D00216,breast_cancer,HER2,0,1,0.654,385.3,1.37,20.365,10
D00217,breast_cancer,VEGF,1,1,0.496,458.4,3.57,40.0,5
D00218,lung_cancer,PD1,0,0,0.731,600.2,3.06,46.91,20
D00219,breast_cancer,ALK,1,0,0.481,610.3,1.9,36.627,20
D00220,breast_cancer,HER2,1,0,0.605,343.7,2.96,33.527,8
D00221,melanoma,ALK,1,1,0.517,510.7,2.97,6.196,16
D00222,breast_cancer,PD1,1,1,0.785,314.6,2.93,35.562,17
D00223,ovarian_cancer,mTOR,0,0,0.801,375.6,3.54,3.83,9
D00224,lung_cancer,HER2,1,1,0.677,509.3,2.25,27.565,17
D00225,lung_cancer,PD1,0,0,0.536,438.9,2.15,47.633,5
D00226,melanoma,EGFR,0,1,0.842,475.0,3.76,9.652,14
D00227,lung_cancer,mTOR,1,0,0.593,401.1,3.4,27.04,8
D00228,lung_cancer,PD1,0,1,0.796,437.6,2.37,28.44,10
D00229,melanoma,HER2,0,1,0.624,471.4,2.17,5.026,3
D00230,lung_cancer,PD1,0,0,0.674,435.7,2.04,43.181,17
D00231,melanoma,EGFR,1,0,0.551,637.2,3.03,5.239,14
D00232,prostate_cancer,BRAF,1,0,0.455,424.0,3.17,14.146,20
D00233,ovarian_cancer,EGFR,0,0,0.546,471.0,2.82,3.009,12
D00234,breast_cancer,ALK,1,0,0.732,529.1,3.61,21.712,12
D00235,lung_cancer,ALK,0,1,0.837,437.6,2.54,26.088,13
D00236,colon_cancer,PD1,0,1,0.794,458.0,1.16,20.172,4
D00237,ovarian_cancer,HER2,1,0,0.422,358.8,4.09,6.276,6
D00238,prostate_cancer,mTOR,1,0,0.806,611.6,2.8,6.568,15
D00239,lung_cancer,PD1,0,0,0.796,526.1,3.25,47.145,11
D00240,colon_cancer,ALK,1,1,0.527,726.3,3.9,26.299,7
D00241,colon_cancer,PD1,0,1,0.537,469.8,2.24,26.99,14
D00242,melanoma,HER2,1,1,0.57,351.5,3.16,5.934,16
D00243,colon_cancer,BRAF,1,0,0.764,419.5,1.86,16.184,20
D00244,breast_cancer,ALK,1,1,0.451,428.3,2.13,26.558,10
D00245,colon_cancer,mTOR,1,0,0.745,615.0,3.71,20.273,2
D00246,prostate_cancer,BRAF,1,1,0.537,479.4,4.18,14.82,2
D00247,lung_cancer,HER2,1,1,0.657,486.2,2.31,43.747,6
D00248,lung_cancer,VEGF,1,0,0.463,601.8,3.43,30.9,12
D00249,colon_cancer,mTOR,0,0,0.74,397.0,2.85,29.232,12
D00250,melanoma,BRAF,0,0,0.665,410.0,1.89,6.99,9
D00251,breast_cancer,EGFR,0,0,0.65,554.1,4.53,27.74,18
D00252,lung_cancer,PD1,1,1,0.507,368.1,3.45,40.297,16
D00253,breast_cancer,EGFR,0,0,0.626,427.9,2.61,37.974,15
D00254,lung_cancer,BRAF,1,1,0.755,432.6,2.31,38.75,10
D00255,colon_cancer,BRAF,0,0,0.797,483.9,2.34,22.631,4
D00256,breast_cancer,BRAF,0,0,0.795,501.6,2.96,20.526,18
D00257,ovarian_cancer,PD1,1,0,0.706,460.9,2.27,3.517,10
D00258,melanoma,HER2,1,1,0.785,433.9,3.6,9.117,3
D00259,breast_cancer,PD1,0,1,0.633,520.1,2.22,30.347,5
D00260,ovarian_cancer,HER2,0,0,0.616,487.9,3.6,8.464,2
D00261,lung_cancer,ALK,0,1,0.482,346.4,3.43,33.067,8
D00262,colon_cancer,ALK,1,0,0.525,427.0,3.46,24.526,18
D00263,colon_cancer,VEGF,1,0,0.651,418.9,1.56,17.53,19
D00264,breast_cancer,VEGF,1,0,0.813,349.8,3.04,20.567,2
D00265,prostate_cancer,BRAF,1,0,0.783,500.8,2.28,9.749,1
D00266,melanoma,HER2,1,1,0.641,531.1,1.67,9.023,13
D00267,colon_cancer,mTOR,0,0,0.479,474.7,2.03,21.234,15
D00268,breast_cancer,PD1,0,1,0.831,427.9,3.04,26.386,12
D00269,melanoma,VEGF,1,0,0.56,411.2,2.69,7.332,9
D00270,melanoma,VEGF,0,0,0.425,560.5,2.54,9.727,20
D00271,melanoma,VEGF,0,1,0.867,546.9,2.1,8.606,7
D00272,breast_cancer,mTOR,1,1,0.84,522.4,4.15,29.947,3
D00273,melanoma,ALK,1,0,0.508,300.0,2.36,6.764,2
D00274,colon_cancer,mTOR,1,1,0.668,526.2,2.84,27.708,14
D00275,breast_cancer,PD1,1,1,0.583,509.7,2.52,28.012,19
D00276,ovarian_cancer,VEGF,1,1,0.437,486.9,2.88,6.026,18
D00277,colon_cancer,BRAF,0,0,0.888,573.4,3.2,20.909,11
D00278,ovarian_cancer,PD1,0,0,0.701,507.0,2.67,5.408,2
D00279,lung_cancer,EGFR,0,1,0.802,441.0,2.65,37.983,5
D00280,ovarian_cancer,ALK,0,1,0.866,511.6,2.66,4.911,13
D00281,ovarian_cancer,HER2,1,1,0.654,503.2,4.66,6.058,16
D00282,prostate_cancer,ALK,1,1,0.808,549.7,2.74,9.315,4
D00283,melanoma,ALK,1,0,0.698,576.1,2.67,6.328,19
D00284,ovarian_cancer,VEGF,0,1,0.485,317.0,2.19,6.774,20
D00285,melanoma,VEGF,0,0,0.686,330.3,2.72,8.503,7
D00286,lung_cancer,mTOR,1,1,0.476,481.5,4.34,42.263,14
D00287,ovarian_cancer,BRAF,1,0,0.753,506.2,2.82,6.112,18
D00288,colon_cancer,HER2,1,1,0.557,546.4,1.23,17.598,18
D00289,colon_cancer,ALK,1,1,0.705,498.8,3.62,17.884,8
D00290,colon_cancer,ALK,1,0,0.871,361.7,3.92,29.734,10
D00291,prostate_cancer,VEGF,1,1,0.64,507.1,2.67,11.044,9
D00292,colon_cancer,EGFR,1,1,0.809,530.6,4.82,29.319,5
D00293,colon_cancer,EGFR,1,0,0.573,494.5,3.2,21.636,9
D00294,prostate_cancer,mTOR,0,0,0.814,443.3,2.32,8.44,18
D00295,prostate_cancer,PD1,0,0,0.708,546.4,2.32,11.281,8
D00296,lung_cancer,HER2,0,0,0.426,485.7,2.62,35.333,16
D00297,lung_cancer,HER2,0,0,0.882,518.3,3.27,49.448,6
D00298,melanoma,HER2,1,1,0.725,563.0,2.59,8.78,10
D00299,colon_cancer,PD1,0,0,0.726,458.4,2.22,18.483,2
D00300,breast_cancer,mTOR,0,0,0.899,444.5,3.3,27.94,16
D00301,breast_cancer,HER2,1,0,0.405,540.6,2.26,31.359,4
D00302,colon_cancer,PD1,1,1,0.845,549.6,4.08,17.013,17
D00303,melanoma,PD1,0,0,0.565,513.1,4.5,8.656,9
D00304,prostate_cancer,VEGF,0,1,0.795,418.1,2.0,11.11,7
D00305,breast_cancer,ALK,1,1,0.658,337.7,4.2,21.735,4
D00306,breast_cancer,VEGF,1,1,0.868,532.3,2.96,20.137,13
D00307,breast_cancer,mTOR,1,1,0.551,502.4,2.1,34.458,1
D00308,colon_cancer,HER2,1,0,0.431,675.7,3.1,16.773,10
D00309,breast_cancer,mTOR,1,0,0.719,488.8,3.58,38.813,12
D00310,ovarian_cancer,VEGF,0,0,0.639,518.5,3.18,5.73,20
D00311,colon_cancer,mTOR,1,0,0.781,416.8,3.38,25.205,20
D00312,lung_cancer,ALK,1,1,0.439,630.6,4.08,39.104,2
D00313,ovarian_cancer,ALK,0,0,0.482,607.5,2.59,8.127,15
D00314,lung_cancer,HER2,0,1,0.445,400.8,2.9,37.759,2
D00315,melanoma,VEGF,1,1,0.682,484.5,3.88,7.794,10
D00316,prostate_cancer,EGFR,1,1,0.808,344.6,4.22,12.712,19
D00317,lung_cancer,EGFR,1,1,0.75,467.4,2.66,38.529,2
D00318,lung_cancer,mTOR,0,1,0.604,399.0,1.68,44.224,14
D00319,colon_cancer,mTOR,1,1,0.588,545.9,3.06,25.241,18
D00320,breast_cancer,HER2,1,0,0.489,376.8,1.96,30.745,17
D00321,breast_cancer,HER2,0,0,0.778,453.1,4.34,39.57,15
D00322,prostate_cancer,HER2,1,1,0.812,459.2,1.8,8.228,12
D00323,breast_cancer,PD1,0,0,0.416,460.3,2.78,33.204,20
D00324,lung_cancer,VEGF,0,0,0.45,300.0,2.96,25.839,20
D00325,prostate_cancer,HER2,0,0,0.77,461.5,3.56,9.62,8
D00326,ovarian_cancer,VEGF,0,0,0.652,627.9,3.9,4.736,19
D00327,colon_cancer,ALK,1,0,0.551,458.5,2.11,17.149,17
D00328,breast_cancer,mTOR,1,1,0.43,685.9,3.05,38.97,6
D00329,prostate_cancer,HER2,1,1,0.423,481.1,2.98,9.1,13
D00330,ovarian_cancer,PD1,1,1,0.475,495.8,2.88,5.259,18
D00331,melanoma,VEGF,0,1,0.829,434.1,2.56,5.722,15
D00332,lung_cancer,ALK,1,1,0.679,477.4,2.57,28.352,8
D00333,colon_cancer,VEGF,1,0,0.861,423.0,3.09,27.707,3
D00334,ovarian_cancer,HER2,0,0,0.534,459.6,4.2,7.042,20
D00335,lung_cancer,BRAF,0,0,0.802,300.0,3.87,39.69,18
D00336,breast_cancer,mTOR,0,1,0.552,579.7,1.34,38.18,7
D00337,breast_cancer,HER2,0,1,0.857,452.6,2.7,33.913,7
D00338,melanoma,VEGF,1,1,0.59,367.4,2.38,7.668,12
D00339,colon_cancer,PD1,1,1,0.633,391.2,4.4,27.042,16
D00340,colon_cancer,VEGF,1,1,0.607,554.9,4.02,23.438,8
D00341,prostate_cancer,VEGF,0,1,0.677,537.7,2.1,11.256,14
D00342,colon_cancer,VEGF,0,1,0.515,438.0,3.39,23.547,8
D00343,melanoma,ALK,1,1,0.782,382.2,3.57,7.443,16
D00344,melanoma,VEGF,1,0,0.47,460.8,2.7,7.733,6
D00345,ovarian_cancer,HER2,0,0,0.82,536.9,3.36,3.446,2
D00346,lung_cancer,mTOR,0,0,0.434,451.1,3.93,28.776,7
D00347,ovarian_cancer,mTOR,1,0,0.709,393.5,3.49,7.001,20
D00348,melanoma,HER2,1,0,0.403,527.4,2.75,7.758,1
D00349,lung_cancer,ALK,1,1,0.409,506.1,2.0,45.329,14
D00350,breast_cancer,EGFR,0,0,0.52,553.9,2.85,32.396,9
D00351,colon_cancer,PD1,1,0,0.587,438.2,3.84,21.09,19
D00352,breast_cancer,HER2,0,1,0.742,423.7,1.87,36.957,2
D00353,lung_cancer,mTOR,1,1,0.676,355.5,3.48,26.403,1
D00354,prostate_cancer,VEGF,0,1,0.823,377.6,4.4,11.804,11
D00355,ovarian_cancer,BRAF,0,0,0.515,313.4,4.36,8.408,19
D00356,melanoma,PD1,0,0,0.742,496.9,2.92,6.402,18
D00357,ovarian_cancer,HER2,0,0,0.864,436.4,3.32,4.887,7
D00358,ovarian_cancer,VEGF,1,0,0.55,477.0,3.88,6.384,19
D00359,melanoma,HER2,1,1,0.778,489.1,3.12,5.7,3
D00360,ovarian_cancer,HER2,1,0,0.449,450.9,2.95,4.393,3
D00361,colon_cancer,ALK,1,1,0.415,504.6,1.63,19.1,15
D00362,melanoma,VEGF,1,1,0.616,372.1,3.59,8.398,13
D00363,lung_cancer,BRAF,1,0,0.757,493.7,2.85,27.051,5
D00364,melanoma,HER2,0,1,0.558,481.5,3.28,5.533,1
D00365,colon_cancer,mTOR,1,1,0.451,436.8,2.38,16.309,14
D00366,melanoma,ALK,1,0,0.413,495.7,2.22,6.77,3
D00367,ovarian_cancer,ALK,1,1,0.406,512.7,1.64,5.483,3
D00368,prostate_cancer,ALK,0,0,0.743,562.3,3.38,7.526,9
