drug_id,indication,target,has_positive_efficacy_phrase,has_severe_toxicity_phrase,text_embed_score,molecular_weight,logP,potential_label,toxicity_label,market_size_million,competition_level,expected_profit_score,success_probability,traditional_time_years,ai_time_years
D00122,prostate_cancer,PD1,0,1,0.79,520.4,3.69,0,1,14693,5,0.173,0.106,14,2
D00123,colon_cancer,HER2,0,0,0.451,384.0,2.73,0,0,17504,8,0.408,0.301,14,3
D00124,melanoma,mTOR,1,1,0.832,442.0,2.48,2,0,5559,4,0.738,0.558,10,2
D00125,ovarian_cancer,EGFR,1,0,0.555,621.2,3.32,2,0,5351,1,0.767,0.578,14,1
D00126,ovarian_cancer,ALK,1,1,0.69,379.1,3.73,1,1,3336,4,0.302,0.274,12,3
D00127,breast_cancer,PD1,1,0,0.879,649.8,3.83,2,1,31253,10,0.556,0.387,13,1
D00128,lung_cancer,VEGF,1,1,0.662,358.5,2.61,1,0,34269,8,0.666,0.502,10,3
D00129,ovarian_cancer,EGFR,1,0,0.565,581.4,2.43,2,0,5064,5,0.725,0.6,10,1
D00130,ovarian_cancer,HER2,0,1,0.555,515.5,3.62,0,1,4056,5,0.12,0.131,8,2
D00131,ovarian_cancer,mTOR,1,0,0.735,405.8,2.95,2,0,8614,5,0.743,0.531,13,2
D00132,ovarian_cancer,PD1,0,1,0.554,300.0,2.18,0,0,6983,2,0.415,0.29,9,1
D00133,lung_cancer,PD1,0,0,0.731,459.8,2.0,1,0,44570,8,0.718,0.502,9,3
D00134,ovarian_cancer,BRAF,0,1,0.422,610.6,1.86,0,1,6638,5,0.133,0.095,13,2
D00135,breast_cancer,ALK,0,1,0.883,444.8,3.1,1,1,26357,5,0.407,0.309,12,2
D00136,melanoma,BRAF,1,1,0.651,595.3,1.85,1,1,6635,5,0.308,0.205,10,1
D00137,prostate_cancer,mTOR,1,0,0.756,573.1,3.01,2,0,7374,2,0.767,0.546,12,1
D00138,melanoma,EGFR,0,1,0.842,401.5,3.37,1,0,8247,5,0.566,0.433,11,1
D00139,colon_cancer,VEGF,0,1,0.865,495.9,2.52,1,1,27965,4,0.425,0.259,10,2
D00140,prostate_cancer,BRAF,0,1,0.624,485.6,2.69,0,0,10193,2,0.431,0.359,12,3
D00141,ovarian_cancer,ALK,1,0,0.788,489.1,3.53,2,0,4953,4,0.735,0.576,12,2
D00142,lung_cancer,EGFR,1,0,0.716,606.9,2.01,2,0,34544,8,0.843,0.587,10,1
D00143,ovarian_cancer,mTOR,0,0,0.662,650.6,1.44,0,0,7457,5,0.387,0.347,12,3
D00144,lung_cancer,mTOR,1,0,0.718,467.9,3.47,2,0,25532,5,0.828,0.643,10,1
D00145,prostate_cancer,HER2,0,1,0.467,502.5,2.5,0,0,8868,4,0.404,0.37,11,3
D00146,breast_cancer,BRAF,0,0,0.758,463.4,2.61,1,0,26605,3,0.678,0.521,8,2
D00147,colon_cancer,ALK,1,1,0.527,432.9,3.68,1,1,20848,3,0.399,0.314,10,2
D00148,lung_cancer,BRAF,1,1,0.845,508.6,2.45,2,1,37669,7,0.618,0.492,11,3
D00149,melanoma,PD1,1,0,0.764,552.0,3.25,2,0,6478,5,0.732,0.546,8,1
D00150,colon_cancer,HER2,1,1,0.623,545.0,3.5,2,0,22272,5,0.811,0.6,13,2
D00151,ovarian_cancer,mTOR,1,0,0.438,413.7,2.55,2,0,8565,2,0.773,0.617,9,3
D00152,prostate_cancer,BRAF,1,0,0.463,539.8,3.49,2,0,11933,4,0.77,0.625,8,3
D00153,breast_cancer,HER2,1,1,0.586,478.3,3.09,2,1,37349,7,0.617,0.433,13,2
D00154,breast_cancer,EGFR,0,0,0.65,582.2,2.53,0,0,28577,5,0.493,0.392,9,3
D00155,colon_cancer,HER2,1,0,0.461,523.8,2.84,2,0,29723,8,0.819,0.619,8,3
D00156,colon_cancer,HER2,1,0,0.675,462.6,3.88,2,0,17580,8,0.758,0.615,13,3
D00157,breast_cancer,BRAF,1,0,0.461,546.0,3.65,1,0,36188,5,0.706,0.502,12,2
D00158,melanoma,BRAF,0,0,0.433,584.4,3.02,0,0,8921,5,0.395,0.313,11,3
D00159,lung_cancer,VEGF,1,0,0.625,534.6,2.75,2,0,43065,10,0.865,0.666,14,1
D00160,melanoma,ALK,0,0,0.659,505.9,2.9,1,0,6847,3,0.579,0.487,12,2
D00161,lung_cancer,PD1,0,1,0.463,487.8,3.48,0,1,41468,10,0.257,0.171,12,1
D00162,breast_cancer,HER2,1,0,0.813,414.5,4.67,2,0,38899,7,0.874,0.662,14,3
D00163,melanoma,ALK,0,1,0.844,399.5,2.03,0,1,7474,4,0.147,0.093,14,3
D00164,melanoma,PD1,1,0,0.744,572.6,3.63,1,0,8804,2,0.599,0.431,9,2
D00165,prostate_cancer,PD1,1,1,0.465,529.9,3.5,1,1,11228,2,0.361,0.25,10,2
D00166,breast_cancer,VEGF,0,0,0.545,479.0,2.28,1,0,28135,4,0.676,0.527,12,3
D00167,colon_cancer,VEGF,0,1,0.898,486.1,2.46,1,1,23148,3,0.411,0.242,11,3
D00168,melanoma,VEGF,0,1,0.424,558.0,2.88,0,1,8855,3,0.164,0.126,14,1
D00169,melanoma,VEGF,1,1,0.782,414.0,2.74,2,0,9671,5,0.748,0.544,12,2
D00170,lung_cancer,mTOR,1,1,0.813,513.0,2.55,2,1,29216,3,0.616,0.412,14,2
D00171,ovarian_cancer,PD1,0,0,0.701,414.2,3.19,1,0,3318,2,0.572,0.455,14,2
D00172,ovarian_cancer,mTOR,0,0,0.564,499.6,2.59,1,0,8050,3,0.585,0.454,12,3
D00173,ovarian_cancer,mTOR,1,1,0.808,442.3,3.19,2,1,6412,5,0.482,0.347,13,3
D00174,prostate_cancer,EGFR,1,1,0.884,364.2,1.87,2,1,9728,1,0.539,0.383,9,3
D00175,prostate_cancer,HER2,1,0,0.811,422.5,2.83,2,0,7800,2,0.769,0.521,10,2
D00176,breast_cancer,mTOR,0,1,0.651,504.9,4.18,0,1,22040,8,0.18,0.119,9,3
D00177,colon_cancer,HER2,1,1,0.557,548.6,2.87,1,1,20608,7,0.358,0.262,14,3
D00178,prostate_cancer,HER2,1,1,0.496,478.5,2.2,1,1,9684,3,0.343,0.276,13,1
D00179,prostate_cancer,HER2,1,1,0.64,478.5,2.77,2,1,10480,3,0.522,0.338,13,3
D00180,melanoma,mTOR,1,0,0.545,505.8,2.34,2,0,7837,4,0.749,0.585,13,2
D00181,breast_cancer,VEGF,1,1,0.469,521.5,4.23,1,1,27944,3,0.435,0.312,12,1
D00182,prostate_cancer,VEGF,0,0,0.607,471.3,3.32,1,0,8252,1,0.606,0.492,9,2
D00183,prostate_cancer,mTOR,1,0,0.778,535.2,2.68,2,0,6969,1,0.775,0.583,9,3
D00184,prostate_cancer,HER2,0,0,0.609,497.9,3.01,1,0,6595,4,0.568,0.47,9,3
D00185,colon_cancer,EGFR,0,1,0.684,487.8,2.38,0,1,19662,6,0.188,0.198,12,3
D00186,melanoma,VEGF,1,1,0.496,482.0,3.4,1,0,8759,3,0.589,0.469,8,3
D00187,colon_cancer,BRAF,1,0,0.488,596.1,3.77,1,1,28549,6,0.408,0.298,8,2
D00188,prostate_cancer,EGFR,0,0,0.639,652.3,2.39,1,0,12284,2,0.616,0.45,10,2
D00189,colon_cancer,ALK,0,1,0.727,549.8,3.15,1,0,16936,6,0.6,0.448,11,3
D00190,ovarian_cancer,HER2,1,0,0.719,655.2,2.35,2,0,4809,2,0.754,0.608,11,1
D00191,melanoma,HER2,1,1,0.751,412.8,2.52,2,1,6789,2,0.514,0.385,12,1
D00192,ovarian_cancer,mTOR,1,0,0.859,310.1,2.58,2,0,7140,2,0.766,0.575,9,1
D00193,colon_cancer,BRAF,1,0,0.74,419.3,3.12,2,0,29727,7,0.829,0.619,8,2
D00194,breast_cancer,ALK,1,1,0.682,507.3,4.5,1,1,30098,10,0.375,0.252,10,1
D00195,prostate_cancer,VEGF,0,0,0.612,556.0,2.54,1,0,6987,1,0.6,0.491,11,1
D00196,colon_cancer,mTOR,0,0,0.783,408.1,3.39,1,0,21887,5,0.634,0.529,11,2
D00197,melanoma,mTOR,0,0,0.727,374.4,4.47,0,0,9401,4,0.407,0.326,13,1
D00198,lung_cancer,BRAF,0,1,0.632,574.4,2.62,0,1,37428,6,0.277,0.168,10,1
D00199,colon_cancer,VEGF,0,0,0.805,342.9,4.08,0,0,29479,3,0.517,0.348,8,1
D00200,ovarian_cancer,EGFR,1,0,0.522,470.8,3.99,1,0,7421,2,0.592,0.469,14,1
D00201,breast_cancer,ALK,1,0,0.808,352.4,2.52,2,0,39592,10,0.848,0.681,9,2
D00202,breast_cancer,HER2,0,1,0.55,480.4,3.04,0,1,25738,8,0.199,0.182,12,2
D00203,lung_cancer,PD1,1,1,0.748,444.0,3.5,2,0,31025,9,0.815,0.625,14,1
D00204,colon_cancer,BRAF,0,1,0.857,394.6,2.89,0,1,24130,7,0.201,0.124,9,2
D00205,breast_cancer,PD1,0,1,0.824,489.6,3.41,0,1,26241,3,0.251,0.142,13,3
D00206,ovarian_cancer,EGFR,0,0,0.802,536.9,2.1,1,0,4777,4,0.559,0.408,10,2
D00207,lung_cancer,VEGF,0,0,0.773,357.3,4.02,1,0,47794,9,0.724,0.565,11,1
D00208,ovarian_cancer,PD1,1,1,0.633,506.6,2.4,2,0,5946,5,0.73,0.603,11,1
D00209,prostate_cancer,mTOR,1,0,0.585,604.1,3.09,2,0,9625,2,0.778,0.526,12,3
D00210,ovarian_cancer,HER2,1,1,0.476,574.3,3.05,1,1,5013,4,0.31,0.243,13,2
D00211,colon_cancer,BRAF,1,1,0.63,644.9,4.4,1,1,17293,8,0.331,0.273,9,3
D00212,prostate_cancer,EGFR,0,0,0.873,460.1,3.78,1,0,12756,2,0.619,0.491,9,1
D00213,prostate_cancer,VEGF,0,0,0.653,531.6,4.09,1,0,13916,4,0.605,0.411,12,3
D00214,melanoma,EGFR,0,1,0.668,402.8,3.55,0,1,8527,2,0.173,0.082,8,3
D00215,breast_cancer,VEGF,0,1,0.808,564.7,1.59,0,1,32224,8,0.231,0.176,9,3
D00216,breast_cancer,PD1,0,0,0.447,385.3,1.37,0,0,21838,8,0.429,0.306,9,1
D00217,melanoma,BRAF,1,1,0.683,458.4,3.57,1,1,9326,1,0.362,0.221,14,3
D00218,ovarian_cancer,mTOR,1,0,0.862,600.2,3.06,2,0,7448,5,0.737,0.584,9,2
D00219,lung_cancer,VEGF,0,1,0.864,610.3,1.9,0,1,43569,8,0.288,0.227,12,2
D00220,melanoma,BRAF,0,0,0.65,343.7,2.96,1,0,8580,2,0.598,0.48,10,3
D00221,ovarian_cancer,ALK,1,1,0.415,510.7,2.97,1,1,7019,2,0.34,0.228,11,2
D00222,breast_cancer,HER2,1,0,0.786,314.6,2.93,2,0,22408,3,0.832,0.583,11,3
D00223,prostate_cancer,VEGF,1,1,0.58,375.6,3.54,0,1,13286,3,0.186,0.159,8,1
D00224,lung_cancer,VEGF,1,1,0.678,509.3,2.25,2,0,27936,5,0.84,0.625,12,3
D00225,colon_cancer,BRAF,1,0,0.546,438.9,2.15,2,0,29764,7,0.829,0.665,9,3
D00226,ovarian_cancer,VEGF,1,0,0.469,475.0,3.76,1,0,3518,2,0.573,0.427,11,2
D00227,melanoma,BRAF,0,1,0.526,401.1,3.4,0,1,9864,5,0.149,0.094,8,1
D00228,colon_cancer,EGFR,1,1,0.821,437.6,2.37,2,1,22212,5,0.561,0.399,14,3
D00229,ovarian_cancer,VEGF,1,1,0.702,471.4,2.17,2,0,4455,4,0.732,0.608,10,3
D00230,prostate_cancer,HER2,1,0,0.563,435.7,2.04,2,0,11980,1,0.8,0.623,9,3
D00231,ovarian_cancer,VEGF,0,1,0.871,637.2,3.03,0,1,8675,1,0.183,0.154,14,2
D00232,prostate_cancer,mTOR,0,1,0.521,424.0,3.17,0,1,12176,1,0.201,0.125,12,2
D00233,ovarian_cancer,mTOR,1,0,0.795,471.0,2.82,2,0,7398,5,0.737,0.582,8,1
D00234,breast_cancer,HER2,1,0,0.723,529.1,3.61,2,0,33094,7,0.845,0.679,11,1
D00235,lung_cancer,EGFR,1,0,0.655,437.6,2.54,2,0,43849,6,0.909,0.654,11,2
D00236,prostate_cancer,ALK,0,1,0.899,458.0,1.16,0,0,7406,1,0.427,0.352,13,1
D00237,colon_cancer,PD1,1,1,0.792,358.8,4.09,1,1,16599,6,0.348,0.289,11,2
D00238,lung_cancer,PD1,0,0,0.411,611.6,2.8,0,0,30385,10,0.452,0.35,9,3
D00239,breast_cancer,PD1,1,1,0.516,526.1,3.25,1,0,34160,8,0.666,0.463,12,1
D00240,melanoma,ALK,1,1,0.402,726.3,3.9,0,1,5512,5,0.128,0.074,14,3
D00241,breast_cancer,PD1,1,0,0.629,469.8,2.24,2,0,37292,10,0.836,0.625,11,3
D00242,melanoma,ALK,0,1,0.576,351.5,3.16,0,0,7436,5,0.387,0.328,13,1
D00243,colon_cancer,EGFR,0,1,0.458,419.5,1.86,0,0,21364,6,0.447,0.363,12,2
D00244,melanoma,VEGF,1,0,0.677,428.3,2.13,2,0,7577,4,0.748,0.581,14,2
D00245,lung_cancer,mTOR,0,0,0.808,615.0,3.71,1,1,41219,8,0.451,0.347,11,3
D00246,melanoma,mTOR,0,0,0.683,479.4,4.18,1,0,5267,3,0.571,0.411,10,1
D00247,melanoma,ALK,1,0,0.686,486.2,2.31,2,0,8005,5,0.74,0.602,8,3
D00248,melanoma,ALK,0,1,0.451,601.8,3.43,0,1,7438,1,0.177,0.114,10,1
D00249,melanoma,BRAF,0,0,0.505,397.0,2.85,0,0,9999,4,0.41,0.292,9,1
D00250,breast_cancer,BRAF,0,1,0.666,410.0,1.89,0,0,29589,5,0.498,0.381,14,3
D00251,prostate_cancer,BRAF,0,0,0.881,554.1,4.53,1,1,10543,2,0.358,0.272,9,1
D00252,breast_cancer,HER2,1,0,0.781,368.1,3.45,2,0,38921,10,0.845,0.624,11,2
D00253,melanoma,EGFR,0,1,0.658,427.9,2.61,0,1,8023,4,0.15,0.165,10,3
D00254,lung_cancer,BRAF,0,1,0.717,432.6,2.31,1,1,42512,8,0.458,0.303,11,1
D00255,melanoma,PD1,1,1,0.569,483.9,2.34,1,1,8975,3,0.34,0.287,14,1
D00256,lung_cancer,EGFR,1,0,0.462,501.6,2.96,2,0,25022,6,0.815,0.583,13,1
D00257,prostate_cancer,PD1,0,1,0.447,460.9,2.27,0,0,8711,1,0.434,0.311,10,3
D00258,prostate_cancer,BRAF,0,1,0.728,433.9,3.6,0,1,13812,1,0.209,0.098,9,3
D00259,prostate_cancer,mTOR,0,0,0.748,520.1,2.22,1,0,12919,2,0.62,0.455,9,2
D00260,lung_cancer,HER2,0,0,0.557,487.9,3.6,1,0,49679,6,0.763,0.563,13,1
D00261,lung_cancer,ALK,0,0,0.62,346.4,3.43,1,0,29960,6,0.665,0.512,11,1
