indication,target,molecular_weight,logP,traditional_time_years
bladder_cancer,HGF,393.8,2.67,12.83
kidney_cancer,IL-1,418.6,1.54,10.23
migraine,GR,473.7,3.26,9.96
ovarian_cancer,NOTCH,450.4,2.77,12.4
autism,HDAC,336.8,2.58,10.65
adhd,5-HT2A,422.6,2.2,10.29
pneumonia,NOTCH,437.1,3.4,11.21
autism,mTOR,600.9,3.17,15.25
coronary_artery_disease,GCGR,470.6,2.93,11.62
insomnia,HER2,296.5,2.97,10.59
lymphoma,AKT,454.8,5.46,12.65
anxiety,MYC,434.6,3.3,12.38
arthritis,GABA_A,447.2,1.83,9.58
bladder_cancer,RET,541.4,3.75,12.64
ulcerative_colitis,mTOR,513.3,2.09,11.78
tuberculosis,TGF_beta,562.2,1.6,8.0
heart_failure,IL-4,496.9,5.19,9.09
malaria,mTOR,370.8,2.43,7.91
ovarian_cancer,GPC3,458.0,2.5,10.16
hepatitis_b,NOTCH,325.9,3.07,10.93
myocardial_infarction,MR,365.0,3.47,8.43
ulcerative_colitis,MR,376.4,4.55,13.99
lymphoma,ER_beta,387.3,2.68,13.89
pneumonia,BCMA,515.1,1.77,8.6
atherosclerosis,GR,468.2,4.31,9.82
depression,BCMA,321.4,3.18,14.08
melanoma,LAG3,470.8,3.78,12.51
malaria,BCMA,351.0,1.68,12.03
gout,EGF,491.8,3.3,8.13
chronic_pain,IL-23,470.0,3.35,11.36
cardiomyopathy,CEA,395.6,3.23,10.35
ulcerative_colitis,NOTCH,473.4,2.29,12.83
rheumatoid_arthritis,MR,599.3,3.47,10.93
atherosclerosis,SGLT2,354.7,3.66,10.49
myocardial_infarction,p53,372.0,3.79,12.35
adhd,OX40,542.7,2.18,10.67
crohns_disease,5-HT1A,527.1,3.41,11.3
arrhythmia,AP-1,515.8,4.9,9.54
ulcerative_colitis,RET,430.4,2.25,13.14
multiple_sclerosis,STAT,378.8,2.18,9.84
stomach_cancer,5-HT2A,443.8,3.34,11.67
gout,GABA_B,472.1,3.83,9.21
lymphoma,GLP-1R,451.0,4.45,11.86
sepsis,FGFR,428.8,5.72,8.92
sepsis,IL-17,500.1,2.14,11.49
influenza,p53,364.3,3.48,12.08
covid_19,ERK,432.1,3.71,9.66
als,Wnt,487.9,2.93,12.14
influenza,ALK,382.3,1.49,9.89
esophageal_cancer,AKT,414.3,3.86,10.19
parkinsons,c-MET,467.1,1.75,10.61
kidney_cancer,HDAC,463.9,3.39,13.79
prostate_cancer,EGF,379.3,3.15,10.82
gout,SGLT2,454.7,1.86,9.34
multiple_sclerosis,GABA_A,478.6,3.56,9.37
psoriasis,GR,536.6,4.05,13.24
colorectal_cancer,PR,339.8,2.06,12.4
sepsis,BTK,491.2,3.51,6.92
crohns_disease,CD47,491.2,6.85,13.83
huntingtons,ROS1,495.7,4.14,10.88
type1_diabetes,TOP1,526.3,3.65,12.48
colorectal_cancer,PD-L1,424.8,3.76,11.03
melanoma,FGF,388.2,2.76,13.65
obesity,CDK4,411.2,3.08,9.27
coronary_artery_disease,CD22,635.2,1.13,11.03
hyperlipidemia,PR,504.9,1.39,11.2
als,BRD4,412.2,4.09,12.0
thyroid_cancer,FGF,455.1,1.92,13.05
obesity,c-MET,392.8,3.68,9.67
kidney_disease,BRD4,391.6,3.22,9.54
pneumonia,MEK,453.6,2.35,9.16
schizophrenia,p53,621.5,3.63,16.02
schizophrenia,CD33,288.0,3.19,13.33
als,5-HT1A,397.1,3.85,11.55
liver_disease,CD33,386.6,2.89,8.32
autism,CD47,490.4,3.87,11.05
breast_cancer,IL-6,354.0,2.67,13.73
kidney_disease,TGF_beta,412.0,2.35,11.3
kidney_disease,D2,591.2,3.4,10.6
multiple_sclerosis,GR,349.1,3.92,10.98
insomnia,BCMA,619.8,4.03,13.44
schizophrenia,CD22,328.5,2.52,10.64
stroke,JAK,551.4,2.29,8.84
insomnia,RAS,485.5,3.77,9.85
epilepsy,CEA,375.8,2.94,9.29
depression,PDGFR,200.0,1.98,11.92
kidney_disease,BRD4,429.8,1.75,11.59
asthma,AMPA,580.6,1.57,9.32
bladder_cancer,CTLA-4,414.8,3.13,16.08
stomach_cancer,EGF,565.3,1.56,11.61
adhd,ROS1,543.1,3.01,13.02
multiple_sclerosis,IL-6,371.5,3.46,11.1
tuberculosis,CD22,465.9,2.4,11.59
alzheimers,Hedgehog,455.6,2.61,11.11
stomach_cancer,ERK,459.1,3.66,10.32
bipolar_disorder,VEGFR,576.9,1.76,10.77
pneumonia,ALK,620.6,1.05,11.29
cardiomyopathy,GLP-1R,437.9,3.59,8.07
heart_failure,TIM3,472.5,2.38,11.95
rheumatoid_arthritis,RAS,433.4,2.51,13.26
adhd,GR,402.9,3.85,13.01
esophageal_cancer,RAS,478.6,2.31,11.44
brain_cancer,TOP2,522.0,3.31,14.71
prostate_cancer,TIM3,515.0,3.63,14.24
influenza,TIGIT,383.7,2.44,9.58
brain_cancer,NMDA,509.8,3.61,11.63
coronary_artery_disease,CD38,448.3,3.12,9.64
hiv_aids,IL-13,552.2,2.41,7.21
melanoma,GR,493.8,2.8,13.5
sepsis,MR,432.6,4.1,7.37
liver_disease,Hedgehog,516.0,3.81,10.52
cervical_cancer,OX40,554.4,3.02,11.77
migraine,ERK,504.6,2.69,9.63
multiple_sclerosis,VEGFPARP,475.9,2.87,10.99
liver_disease,CD19,457.8,3.6,11.91
asthma,PD-L1,384.5,5.09,11.87
colon_cancer,c-MET,369.5,1.79,11.67
arthritis,TIM3,542.6,3.79,12.42
kidney_disease,MEK,499.9,3.63,9.76
ulcerative_colitis,IL-13,449.0,2.1,12.72
atherosclerosis,PD-1,456.1,2.32,9.91
hepatitis_b,PDGFR,528.0,2.85,8.88
hyperlipidemia,AR,384.0,2.68,10.87
heart_failure,GABA_B,483.0,2.44,11.34
ulcerative_colitis,NTRK,384.2,3.24,12.69
pneumonia,HER2,469.6,2.49,10.2
heart_failure,ALK,412.3,3.23,10.53
psoriasis,NOTCH,334.2,1.59,14.13
hyperlipidemia,CD30,392.5,2.79,9.1
pancreatic_cancer,NOTCH,474.9,4.48,13.8
brain_cancer,GIPR,518.6,2.84,14.84
leukemia,GCGR,448.5,2.0,9.96
crohns_disease,IGF1R,448.5,2.71,9.74
insomnia,MR,475.8,2.17,10.67
arrhythmia,CDK6,491.5,4.53,9.85
migraine,GABA_B,441.3,3.4,12.31
huntingtons,5-HT2A,505.2,2.6,9.96
anxiety,IL-4,467.9,3.01,9.58
adhd,Wnt,457.8,2.23,14.79
gout,AMPA,452.0,3.5,7.35
bipolar_disorder,CD19,566.1,3.96,10.74
bladder_cancer,MYC,622.3,2.23,17.48
celiac_disease,TOP1,519.8,3.18,12.23
colon_cancer,Hedgehog,625.2,2.19,13.02
type2_diabetes,mTOR,382.8,2.4,7.91
myocardial_infarction,STAT,280.1,2.47,8.51
insomnia,TNF_alpha,389.3,3.15,12.12
huntingtons,AMPA,477.3,4.88,14.61
sepsis,ALK,526.0,2.42,7.6
osteoporosis,TGF_beta,378.1,3.49,7.49
thyroid_cancer,5-HT2A,344.4,4.83,12.69
obesity,BRD4,544.4,2.53,9.9
crohns_disease,p53,312.9,4.35,10.5
hepatitis_b,VEGFPARP,440.8,4.24,6.84
liver_disease,VEGFPARP,322.4,2.4,6.96
pneumonia,ER_alpha,450.4,3.05,10.06
hepatitis_c,BCR-ABL,414.0,3.62,11.38
kidney_disease,p53,364.6,2.86,11.41
obesity,DNMT,459.6,3.51,8.82
leukemia,ER_alpha,506.9,1.88,12.95
osteoporosis,TIGIT,327.3,4.28,10.02
prostate_cancer,FGFR,476.6,2.25,12.49
alzheimers,c-MET,574.1,3.12,12.77
epilepsy,CD38,544.3,3.07,12.91
depression,BRAF,614.9,4.76,16.18
cervical_cancer,HER2,430.1,3.97,12.24
prostate_cancer,CDK6,501.6,4.37,10.64
melanoma,c-MET,372.8,3.69,12.59
lymphoma,D2,534.7,1.24,12.29
chronic_pain,CD20,355.3,0.96,12.81
hiv_aids,GLP-1R,428.4,3.72,10.33
stomach_cancer,ROS1,570.2,3.07,10.49
crohns_disease,ER_beta,580.3,1.62,13.21
malaria,NTRK,313.7,2.94,10.33
parkinsons,GIPR,480.7,2.97,10.42
pneumonia,GR,284.6,2.91,8.7
obesity,MEK,345.6,3.67,8.83
malaria,NTRK,479.3,2.06,9.59
kidney_cancer,BCR-ABL,408.9,1.94,16.05
tuberculosis,FGFR,445.0,3.96,10.57
arthritis,DNMT,371.1,3.5,8.59
lymphoma,BCMA,407.6,2.21,15.68
tuberculosis,TGF_beta,441.4,1.96,10.74
colorectal_cancer,MYC,405.7,1.8,15.41
rheumatoid_arthritis,CD47,607.2,3.04,11.54
liver_cancer,BRAF,394.0,3.21,13.35
insomnia,DNMT,441.0,2.78,9.44
coronary_artery_disease,ER_alpha,499.1,3.76,9.0
esophageal_cancer,FGFR,407.6,2.42,10.62
esophageal_cancer,TIM3,428.0,0.7,14.34
fibromyalgia,VEGFPARP,328.8,4.37,9.25
kidney_disease,IL-17,581.6,2.75,10.03
osteoporosis,RAS,496.1,3.31,10.31
huntingtons,CD19,696.3,4.12,12.95
epilepsy,TNF_alpha,439.8,2.04,11.53
osteoporosis,PDGFR,321.5,3.2,8.17
tuberculosis,EGF,389.5,1.58,8.18
hiv_aids,HER3,398.3,1.92,11.82
pneumonia,CEA,585.0,3.88,6.65
hiv_aids,IL-17,449.4,4.48,7.29
multiple_sclerosis,CD38,456.2,2.14,11.92
insomnia,IL-1,571.8,3.54,9.16
type1_diabetes,HIF,367.0,2.81,11.62
cardiomyopathy,CDK6,380.0,1.62,10.77
stomach_cancer,CDK6,524.1,4.91,15.3
covid_19,FGF,338.1,3.56,9.22
lupus,MEK,397.9,2.51,11.15
depression,BCR-ABL,402.6,2.14,10.88
kidney_cancer,ER_alpha,453.9,2.17,13.45
brain_cancer,p53,471.6,2.95,14.96
ovarian_cancer,D2,430.9,2.09,13.56
asthma,TNF_alpha,403.9,3.76,7.99
lymphoma,CD47,490.1,2.02,13.76
ovarian_cancer,PD-L1,457.9,3.75,15.76
type2_diabetes,ER_alpha,316.4,3.54,10.19
bladder_cancer,Hedgehog,397.0,3.57,13.58
anxiety,CTLA-4,388.9,1.2,15.26
ulcerative_colitis,ROS1,319.8,3.05,11.15
osteoporosis,mTOR,470.8,2.1,8.68
hyperlipidemia,HIF,501.1,1.34,10.09
insomnia,RET,444.7,1.79,10.48
type2_diabetes,HER3,397.9,3.05,8.37
kidney_disease,JAK,381.2,2.62,8.4
stomach_cancer,CD19,530.5,2.42,15.65
insomnia,VEGFR,516.9,1.87,11.17
cervical_cancer,RAS,492.4,4.44,13.88
arrhythmia,GCGR,252.3,2.2,7.93
influenza,p53,496.2,2.8,9.61
rheumatoid_arthritis,NMDA,479.7,2.4,12.66
influenza,5-HT1A,456.9,2.84,9.8
hepatitis_c,ERK,543.4,3.25,9.46
huntingtons,FGFR,477.0,2.59,12.45
lymphoma,IL-6,411.0,2.57,13.7
schizophrenia,D2,481.6,2.58,12.25
multiple_sclerosis,D2,473.2,5.08,14.2
obesity,PD-1,519.7,2.67,8.58
lupus,NTRK,546.1,2.59,13.24
colon_cancer,VEGFR,287.0,1.99,10.6
asthma,D2,300.3,2.65,8.85
parkinsons,MEK,451.5,4.68,12.27
anxiety,PD-1,476.2,2.78,9.66
pneumonia,c-MET,516.4,0.79,7.46
fibromyalgia,EGF,468.8,3.77,8.47
tuberculosis,EGFR,331.7,4.14,9.36
esophageal_cancer,IL-17,477.1,2.58,13.54
arthritis,TNF_alpha,500.6,5.27,11.07
gout,ER_alpha,464.5,3.25,8.9
type1_diabetes,PD-1,413.3,2.15,12.75
ulcerative_colitis,AKT,516.4,2.14,9.94
myocardial_infarction,5-HT1A,455.7,2.52,11.89
stroke,AKT,488.3,3.33,8.64
pneumonia,VEGFR,533.0,2.49,8.21
ovarian_cancer,CD30,428.4,2.02,14.69
asthma,CTLA-4,414.5,3.38,9.82
bladder_cancer,NF-kB,510.6,2.08,10.83
hiv_aids,GCGR,519.6,4.36,11.36
liver_disease,GABA_B,483.1,4.88,10.44
esophageal_cancer,GLP-1R,388.1,1.76,11.17
bipolar_disorder,CD33,307.7,4.5,8.82
tuberculosis,CDK4,502.3,2.94,9.27
celiac_disease,p53,472.4,1.87,16.0
stomach_cancer,Wnt,645.7,3.13,14.52
influenza,VEGFR,458.8,3.73,7.97
type2_diabetes,AR,488.5,3.22,10.78
covid_19,ER_alpha,386.8,3.47,8.33
insomnia,CEA,600.6,4.35,10.89
melanoma,HER4,577.5,2.49,13.03
thyroid_cancer,LAG3,370.8,2.87,15.13
kidney_disease,STAT,454.5,4.09,8.98
covid_19,CDK6,314.6,4.53,11.95
lupus,BCMA,437.4,2.57,13.32
coronary_artery_disease,Wnt,369.0,1.35,9.85
cardiomyopathy,AKT,515.9,3.07,8.94
type2_diabetes,IL-13,346.8,1.7,7.82
brain_cancer,c-MET,423.1,4.67,13.49
hepatitis_b,EGF,429.2,1.5,7.02
covid_19,5-HT1A,430.3,2.73,10.41
stroke,mTOR,234.2,2.95,8.17
thyroid_cancer,IL-6,431.5,3.7,10.11
multiple_sclerosis,BCMA,597.9,4.13,13.9
cardiomyopathy,Wnt,428.5,1.89,13.41
brain_cancer,TNF_alpha,655.9,3.06,14.07
psoriasis,FGF,451.1,2.98,9.37
autism,NF-kB,465.8,2.86,10.37
colorectal_cancer,GABA_B,404.1,2.45,14.07
adhd,AMPA,447.4,2.46,10.56
pneumonia,ALK,393.0,3.11,9.98
sepsis,HDAC,429.6,4.5,9.22
lupus,BCMA,237.9,4.09,13.21
sepsis,PI3K,549.7,0.93,8.63
gout,p53,422.6,2.63,11.0
lupus,JAK,337.4,2.22,11.64
rheumatoid_arthritis,GABA_B,361.2,4.75,11.67
parkinsons,HGF,524.9,4.27,9.98
asthma,OX40,507.7,1.87,10.63
malaria,AKT,408.0,3.49,10.67
type2_diabetes,PDGFR,352.2,3.71,8.1
anxiety,ALK,430.8,2.63,10.79
thyroid_cancer,mTOR,506.9,3.44,14.4
psoriasis,TGF_beta,421.1,4.16,12.97
fibromyalgia,GR,363.5,3.62,9.36
colon_cancer,CD38,497.4,2.69,13.0
fibromyalgia,AKT,476.1,1.75,9.47
coronary_artery_disease,PR,523.9,2.82,12.3
adhd,BCR-ABL,408.2,4.05,13.18
adhd,NMDA,393.7,1.59,12.56
hepatitis_c,HGF,325.5,3.61,7.1
asthma,LAG3,347.6,4.75,14.59
copd,CDK4,283.4,4.7,10.4
als,VEGFR,466.9,2.9,11.41
influenza,CD30,406.4,3.4,8.35
arthritis,p53,447.0,4.1,14.32
kidney_cancer,AKT,459.1,3.15,13.11
copd,IL-17,420.9,2.94,10.15
pneumonia,IL-23,474.6,1.29,8.9
autism,p53,342.1,3.74,13.4
adhd,OX40,463.7,2.82,12.34
copd,BCMA,451.5,3.35,12.95
anxiety,PI3K,406.8,2.22,12.16
osteoporosis,BCMA,465.7,2.02,11.65
esophageal_cancer,BCMA,482.7,1.3,15.9
schizophrenia,TGF_beta,532.3,3.47,11.65
migraine,PD-L1,470.5,3.98,11.03
leukemia,MR,583.2,4.01,11.78
colon_cancer,EGFR,302.7,1.72,14.63
asthma,AMPA,400.0,3.03,10.96
anxiety,CD33,491.4,2.27,10.11
epilepsy,IL-23,464.9,2.24,12.08
myocardial_infarction,SGLT2,401.1,1.59,11.08
pancreatic_cancer,PR,376.1,1.65,13.28
bipolar_disorder,VEGFR,371.9,4.05,8.84
ulcerative_colitis,OX40,374.0,5.63,12.85
colon_cancer,TNF_alpha,489.5,3.18,11.12
coronary_artery_disease,5-HT2A,381.3,3.7,10.9
breast_cancer,CD47,403.9,3.12,13.87
myocardial_infarction,p53,654.8,2.9,15.62
brain_cancer,GR,541.9,2.3,11.95
crohns_disease,PD-L1,447.2,4.77,11.3
breast_cancer,LAG3,399.8,4.81,14.59
hiv_aids,TNF_alpha,506.6,2.44,10.68
thyroid_cancer,Wnt,500.6,3.97,15.14
colon_cancer,AMPA,499.7,1.43,11.38
hepatitis_c,IL-13,391.8,2.75,10.82
parkinsons,PD-L1,444.0,3.62,14.33
insomnia,CEA,464.2,1.66,8.4
kidney_cancer,IL-13,480.4,3.61,13.47
arrhythmia,CD33,494.8,4.08,11.34
alzheimers,HGF,516.7,3.46,11.73
kidney_cancer,5-HT2A,444.4,1.34,10.74
sepsis,CD22,484.4,3.21,12.57
stomach_cancer,PDGFR,471.7,1.72,12.3
kidney_cancer,c-MET,363.5,4.05,13.85
stroke,AKT,446.8,3.68,11.73
hepatitis_c,ER_alpha,452.3,3.03,11.61
hyperlipidemia,ER_beta,525.1,2.48,7.38
colon_cancer,NF-kB,457.7,2.54,13.81
osteoporosis,IL-17,415.2,2.69,7.5
prostate_cancer,CD20,467.8,2.52,13.9
epilepsy,PD-L1,550.5,2.11,12.38
melanoma,VEGFR,435.1,2.56,13.74
prostate_cancer,PD-1,565.8,3.2,9.82
bladder_cancer,PD-L1,532.5,1.51,14.02
kidney_cancer,AKT,471.4,3.89,12.39
lupus,EGF,456.6,4.07,11.65
adhd,BRAF,408.6,4.41,13.1
depression,IGF1R,633.9,2.64,12.89
tuberculosis,TGF_beta,414.4,4.45,9.13
hyperlipidemia,IL-17,576.4,2.48,7.87
hyperlipidemia,BTK,416.4,2.72,10.53
adhd,BRAF,342.4,2.08,13.06
insomnia,AKT,369.7,2.23,9.21
ulcerative_colitis,HIF,447.2,3.23,9.31
atherosclerosis,FGFR,574.0,2.0,9.32
ovarian_cancer,ALK,528.7,2.79,11.71
parkinsons,AMPA,446.0,3.67,10.42
breast_cancer,DNMT,360.2,3.38,14.16
copd,PD-L1,463.3,3.49,12.69
migraine,IL-13,473.1,5.46,11.39
rheumatoid_arthritis,LAG3,399.0,2.47,13.39
asthma,CD30,400.1,2.44,11.48
hepatitis_b,PDGFR,399.0,4.19,9.03
autism,IL-13,563.6,2.43,12.99
heart_failure,STAT,383.4,3.47,9.15
als,GABA_B,405.8,3.63,11.89
kidney_disease,HIF,466.2,1.48,10.9
celiac_disease,CDK4,573.8,4.8,11.11
kidney_cancer,IL-17,401.0,2.61,11.53
bladder_cancer,EGFR,472.9,3.33,12.04
heart_failure,HER2,502.7,5.01,9.22
copd,AP-1,435.8,2.2,9.26
hepatitis_b,HER2,339.7,2.27,5.87
arthritis,GIPR,447.3,4.79,12.08
leukemia,IL-17,408.6,3.22,10.42
celiac_disease,TIM3,448.7,4.19,14.18
als,TOP1,652.2,2.47,12.71
pancreatic_cancer,RET,410.8,4.04,11.65
breast_cancer,CDK4,504.6,4.85,12.01
leukemia,IL-17,496.7,2.64,14.08
asthma,TIM3,497.3,4.11,9.89
pancreatic_cancer,CDK6,515.6,3.51,14.33
hypertension,PR,535.3,4.17,11.43
migraine,FGF,560.6,3.65,12.98
ulcerative_colitis,AR,436.6,3.15,12.42
esophageal_cancer,TNF_alpha,546.5,2.18,12.44
epilepsy,ALK,479.5,2.61,11.65
osteoporosis,CD33,452.3,4.28,8.03
kidney_disease,TOP2,465.3,3.05,10.04
malaria,BTK,341.2,3.75,9.36
als,ALK,501.6,5.16,10.46
gout,CD30,425.4,3.22,9.47
influenza,CEA,470.0,4.58,10.93
fibromyalgia,MR,442.4,3.28,7.84
brain_cancer,RAS,498.6,3.19,13.67
gout,ROS1,414.3,3.19,10.53
als,EGF,535.9,1.97,11.15
schizophrenia,CD20,460.6,2.3,10.73
adhd,AMPA,545.6,1.48,12.79
liver_disease,RAS,405.3,3.38,11.64
lung_cancer,PR,575.2,2.93,12.18
ulcerative_colitis,GCGR,405.6,4.88,13.09
colon_cancer,CD20,334.2,0.8,15.11
bipolar_disorder,Wnt,485.2,2.5,12.52
osteoporosis,CEA,368.3,3.71,7.52
stroke,IL-13,469.5,2.44,8.43
alzheimers,GCGR,347.6,3.87,13.08
hepatitis_b,GABA_B,502.0,2.9,7.41
heart_failure,GLP-1R,597.7,1.93,10.56
copd,HGF,328.0,2.31,9.54
hepatitis_c,IL-4,446.4,3.24,6.96
esophageal_cancer,BRD4,430.7,3.35,13.36
ovarian_cancer,FGF,349.9,4.44,14.22
malaria,BRD4,443.4,4.12,7.3
chronic_pain,TGF_beta,477.4,3.46,10.43
covid_19,ER_alpha,495.6,3.45,8.42
arthritis,MEK,501.4,4.33,8.71
lymphoma,CD19,465.7,3.71,14.4
hypertension,BCMA,442.8,4.44,10.52
copd,BCMA,395.9,4.8,12.51
adhd,PDGFR,446.8,1.57,12.4
lymphoma,CDK4,460.2,2.32,14.35
coronary_artery_disease,CD38,517.3,2.35,10.88
epilepsy,GR,414.3,1.11,11.52
osteoporosis,HER4,413.8,0.58,10.42
lung_cancer,DNMT,323.3,3.76,9.97
lymphoma,IL-23,512.9,3.43,10.68
autism,GABA_A,372.6,2.95,11.71
osteoporosis,BCR-ABL,449.7,1.84,8.83
adhd,p53,570.3,3.88,12.97
melanoma,BTK,432.3,3.03,11.05
colon_cancer,EGF,466.7,0.96,12.72
myocardial_infarction,TGF_beta,430.2,2.32,8.37
stroke,CD30,369.9,2.72,11.54
celiac_disease,HER2,593.8,3.64,10.57
arthritis,NF-kB,404.3,3.57,10.24
hepatitis_c,GCGR,561.9,3.92,8.72
multiple_sclerosis,CD19,454.8,2.35,10.79
liver_disease,IL-13,505.9,3.39,10.15
schizophrenia,IL-4,521.6,3.64,12.8
ovarian_cancer,GCGR,534.0,2.46,12.61
als,CD20,555.4,3.2,13.95
brain_cancer,GCGR,616.0,2.31,14.54
type1_diabetes,p53,588.9,3.2,12.08
alzheimers,IGF1R,397.9,2.52,11.71
arrhythmia,CD33,424.4,3.42,11.63
schizophrenia,IL-1,491.8,2.43,12.89
hepatitis_b,IGF1R,448.1,5.14,11.74
als,BRAF,588.2,3.44,12.95
osteoporosis,GABA_A,453.0,3.12,7.62
hyperlipidemia,D2,499.1,1.98,7.38
hiv_aids,IL-1,429.4,1.33,10.33
pneumonia,GABA_A,481.9,3.65,9.19
brain_cancer,5-HT2A,411.3,4.57,14.85
osteoporosis,DNMT,351.9,1.54,10.54
crohns_disease,OX40,468.0,4.05,10.81
kidney_disease,CD47,584.7,2.54,11.94
ovarian_cancer,NTRK,536.3,2.96,12.58
coronary_artery_disease,GCGR,436.2,3.88,10.51
tuberculosis,STAT,502.2,1.42,11.11
adhd,ERK,568.1,4.38,12.74
type2_diabetes,CTLA-4,400.0,3.4,8.51
rheumatoid_arthritis,TOP2,489.5,3.26,9.79
parkinsons,AMPA,406.0,2.33,9.73
influenza,HER2,448.0,4.17,6.66
tuberculosis,mTOR,493.5,2.63,8.61
lymphoma,BRD4,511.7,0.15,13.09
colon_cancer,HIF,541.9,1.26,13.73
breast_cancer,p53,421.0,1.88,15.02
heart_failure,MR,346.4,4.16,9.46
leukemia,AKT,412.6,3.35,13.23
tuberculosis,CD30,446.2,3.48,10.62
als,IL-13,456.1,1.72,11.68
colorectal_cancer,AP-1,529.7,2.51,13.46
atherosclerosis,PR,325.5,2.57,9.4
migraine,GABA_B,570.1,3.85,10.6
stomach_cancer,IL-17,422.1,2.65,12.88
lupus,mTOR,424.3,5.08,12.29
myocardial_infarction,NMDA,480.6,3.43,12.2
prostate_cancer,BCR-ABL,532.4,3.24,10.61
osteoporosis,TNF_alpha,429.3,2.8,8.31
tuberculosis,GR,444.3,2.96,7.46
depression,ROS1,508.2,3.05,10.09
heart_failure,IL-23,508.6,2.92,9.43
liver_cancer,CD22,456.3,1.0,15.04
brain_cancer,GIPR,523.3,3.35,10.26
myocardial_infarction,PI3K,529.8,0.1,8.0
liver_disease,BCMA,617.1,2.86,13.52
cervical_cancer,TIM3,538.7,1.96,14.73
tuberculosis,TIM3,499.0,1.95,11.97
liver_disease,5-HT2A,400.1,4.91,11.1
arrhythmia,ER_alpha,434.7,3.22,9.01
melanoma,TOP2,519.6,3.5,12.97
breast_cancer,PD-L1,462.0,3.36,12.16
pancreatic_cancer,IL-13,642.3,2.94,15.05
als,SGLT2,466.1,4.05,13.1
obesity,PI3K,538.4,4.19,8.16
chronic_pain,PDGFR,501.1,1.86,11.21
sepsis,OX40,580.7,1.85,9.7
pneumonia,HER2,474.2,2.25,9.08
als,5-HT1A,444.9,3.33,12.13
cardiomyopathy,IL-4,475.7,3.42,10.69
lung_cancer,MR,579.1,3.45,10.6
breast_cancer,CD38,430.5,3.96,10.98
rheumatoid_arthritis,BRD4,545.2,1.77,10.68
kidney_cancer,BRAF,497.8,3.7,13.08
chronic_pain,MR,426.2,4.38,10.62
esophageal_cancer,HGF,438.0,3.13,10.53
stomach_cancer,BCR-ABL,436.2,3.02,14.5
autism,CD30,362.3,1.56,13.26
crohns_disease,CD30,577.6,2.15,11.28
colon_cancer,HGF,370.7,0.85,10.78
thyroid_cancer,IL-23,398.9,1.68,12.02
sepsis,LAG3,581.4,4.01,12.76
ovarian_cancer,DNMT,394.9,5.25,13.57
celiac_disease,PR,528.5,2.68,11.23
myocardial_infarction,HER4,250.0,5.29,12.04
leukemia,5-HT1A,338.8,1.35,10.1
multiple_sclerosis,mTOR,531.8,5.44,11.69
esophageal_cancer,HGF,560.7,3.56,12.63
liver_cancer,STAT,497.6,3.85,13.26
ulcerative_colitis,PI3K,510.7,3.28,8.9
malaria,PR,458.3,2.94,9.0
celiac_disease,DNMT,389.7,2.72,12.47
heart_failure,VEGFR,314.6,2.9,9.93
liver_disease,MR,370.9,1.9,11.5
brain_cancer,TIGIT,464.4,4.39,14.04
als,Hedgehog,523.5,1.43,14.16
celiac_disease,AMPA,370.8,3.94,11.98
