indication,target,molecular_weight,logP,toxicity_label
migraine,VEGF,450.419,3.047,1
asthma,mTOR,424.958,1.401,0
migraine,D2,459.624,3.514,0
copd,HER2,534.836,4.541,1
colorectal_cancer,D2,476.585,2.252,0
copd,HER2,459.189,4.551,1
migraine,GIPR,614.86,4.755,1
obesity,GIPR,368.369,2.731,0
melanoma,VEGF,501.63,4.369,1
schizophrenia,HER2,415.308,2.658,0
breast_cancer,BRAF,534.674,1.241,0
psoriasis,HER2,520.885,2.863,0
breast_cancer,5-HT1A,570.189,3.074,0
obesity,EGFR,528.524,3.331,1
melanoma,GABA_A,313.729,2.944,0
rheumatoid_arthritis,mTOR,449.504,3.403,0
psoriasis,mTOR,345.642,3.67,0
asthma,D2,361.9,3.488,0
colon_cancer,EGFR,444.986,3.955,1
breast_cancer,PD-1,414.265,2.524,0
copd,PD1,407.579,2.207,0
copd,ALK,335.273,2.808,0
migraine,PD-1,607.178,3.035,0
breast_cancer,PD-1,491.167,4.205,0
lung_cancer,GLP-1R,441.014,2.779,0
colorectal_cancer,PD-1,391.087,3.58,0
psoriasis,EGFR,427.996,0.698,1
lymphoma,GABA_A,399.878,0.808,0
depression,PD1,496.125,3.311,0
asthma,GABA_A,372.219,3.079,0
obesity,PD1,321.484,3.203,0
lymphoma,HER2,435.048,2.952,0
depression,D2,398.274,1.918,0
prostate_cancer,ALK,467.458,3.911,1
schizophrenia,GLP-1R,449.362,4.48,0
lung_cancer,SGLT2,639.946,4.015,1
ovarian_cancer,IL-6,367.02,2.81,0
lymphoma,GLP-1R,561.659,1.69,0
asthma,GIPR,338.115,3.563,0
prostate_cancer,NMDA,413.351,2.374,0
melanoma,BRAF,402.608,2.136,0
melanoma,PD-1,249.779,3.685,1
type2_diabetes,PD-L1,430.884,2.092,1
obesity,5-HT1A,468.986,3.274,0
colorectal_cancer,HER2,490.073,2.022,1
depression,HER2,613.466,4.62,1
breast_cancer,D2,396.99,3.571,0
psoriasis,PD-1,472.381,0.259,0
obesity,PD1,470.778,2.096,0
type2_diabetes,D2,358.869,3.268,0
prostate_cancer,GIPR,397.853,3.047,0
melanoma,ALK,401.843,3.76,1
psoriasis,5-HT1A,492.384,4.442,0
type2_diabetes,mTOR,308.381,1.967,0
lung_cancer,PD-1,479.692,2.396,1
psoriasis,BRAF,489.044,4.58,1
obesity,NMDA,477.008,2.588,0
colorectal_cancer,IL-6,424.522,2.681,1
type2_diabetes,IL-6,473.182,5.075,1
psoriasis,NMDA,428.384,3.948,1
prostate_cancer,IL-6,286.95,1.992,0
copd,GIPR,534.127,2.156,0
psoriasis,PD-L1,476.154,2.781,0
depression,IL-6,521.393,3.096,1
prostate_cancer,mTOR,331.713,4.144,0
asthma,IL-6,490.75,4.247,1
migraine,GIPR,464.549,3.248,0
psoriasis,NMDA,362.689,2.183,0
rheumatoid_arthritis,SGLT2,455.725,2.522,0
rheumatoid_arthritis,GIPR,422.198,3.829,1
type2_diabetes,TNF_alpha,428.41,2.021,1
depression,BRAF,415.807,2.447,1
migraine,VEGF,519.568,4.356,1
obesity,BRAF,319.423,3.281,0
lymphoma,IL-6,307.702,4.496,1
lymphoma,GIPR,464.442,5.644,1
copd,5-HT1A,458.752,3.726,0
breast_cancer,GLP-1R,467.349,3.442,0
schizophrenia,BRAF,600.562,4.345,1
rheumatoid_arthritis,PD1,464.711,3.1,1
lung_cancer,PD-L1,370.832,2.874,1
schizophrenia,PD-L1,653.095,3.524,1
lymphoma,EGFR,437.359,2.573,1
asthma,D2,518.18,0.679,1
psoriasis,GLP-1R,346.803,1.705,0
depression,VEGF,329.779,2.739,0
rheumatoid_arthritis,ALK,430.341,2.727,0
lymphoma,D2,514.355,2.843,0
rheumatoid_arthritis,EGFR,597.916,4.127,1
rheumatoid_arthritis,VEGF,368.625,3.517,1
obesity,SGLT2,428.489,1.893,0
type2_diabetes,PD1,450.056,3.158,0
rheumatoid_arthritis,GABA_A,451.114,2.976,0
schizophrenia,SGLT2,440.812,3.155,0
melanoma,GLP-1R,447.38,2.457,0
melanoma,VEGF,561.087,0.341,0
schizophrenia,GLP-1R,549.687,0.927,0
melanoma,SGLT2,473.187,2.745,1
colon_cancer,IL-6,337.399,2.222,0
lymphoma,HER2,421.049,2.93,0
obesity,NMDA,524.854,4.272,0
colon_cancer,EGFR,393.642,2.272,1
copd,GLP-1R,408.038,3.489,0
prostate_cancer,EGFR,421.945,2.771,0
lung_cancer,BRAF,506.877,3.444,1
psoriasis,PD1,581.712,1.993,0
obesity,mTOR,497.448,2.69,0
rheumatoid_arthritis,PD1,316.418,4.765,1
breast_cancer,GIPR,408.182,4.049,0
psoriasis,PD-L1,555.261,1.247,0
asthma,PD-L1,347.566,4.755,1
schizophrenia,5-HT1A,309.722,2.455,0
ovarian_cancer,IL-6,406.406,3.399,1
prostate_cancer,PD1,527.746,2.969,0
lymphoma,TNF_alpha,420.911,2.943,0
lymphoma,HER2,622.419,3.672,1
psoriasis,TNF_alpha,463.669,2.816,1
asthma,PD-L1,346.924,3.101,0
obesity,PD-L1,465.668,2.022,0
depression,SGLT2,610.446,3.718,1
copd,mTOR,470.482,3.983,0
asthma,PD-L1,369.699,3.51,1
asthma,BRAF,302.73,1.72,0
psoriasis,EGFR,422.159,3.199,1
rheumatoid_arthritis,GABA_A,401.079,1.593,0
breast_cancer,HER2,557.305,2.116,0
prostate_cancer,NMDA,374.048,5.632,1
lung_cancer,SGLT2,457.626,3.179,0
obesity,NMDA,403.949,3.122,0
prostate_cancer,HER2,314.835,3.987,1
psoriasis,HER2,447.201,4.771,1
colon_cancer,TNF_alpha,325.364,2.6,1
asthma,mTOR,500.593,3.973,0
breast_cancer,PD-1,308.971,4.144,0
lymphoma,BRAF,444.045,3.621,0
breast_cancer,5-HT1A,535.165,3.12,1
lymphoma,GIPR,494.783,4.081,1
asthma,EGFR,413.7,3.633,1
lymphoma,EGFR,484.369,3.208,0
schizophrenia,D2,515.479,3.134,0
lung_cancer,SGLT2,363.515,4.053,1
melanoma,PD-1,540.326,2.92,1
depression,D2,525.063,2.484,0
depression,IL-6,337.587,3.501,0
colorectal_cancer,5-HT1A,467.771,2.521,0
migraine,PD-L1,429.118,3.135,0
prostate_cancer,GIPR,565.758,3.197,0
colon_cancer,GLP-1R,519.421,3.283,0
colorectal_cancer,IL-6,456.583,4.065,1
colorectal_cancer,ALK,547.854,2.317,0
ovarian_cancer,mTOR,633.912,2.637,1
psoriasis,PD-1,315.454,1.241,1
colon_cancer,VEGF,416.385,2.718,0
obesity,5-HT1A,369.511,1.949,0
psoriasis,TNF_alpha,447.225,3.234,1
colorectal_cancer,PD1,364.354,3.683,1
ovarian_cancer,SGLT2,528.746,2.786,1
copd,PD1,634.778,2.336,0
depression,VEGF,463.316,3.492,0
melanoma,mTOR,324.403,3.074,0
schizophrenia,SGLT2,400.149,2.445,0
psoriasis,HER2,410.322,2.832,1
obesity,GLP-1R,563.64,2.429,0
colon_cancer,HER2,477.489,2.623,0
rheumatoid_arthritis,GLP-1R,466.234,1.484,0
rheumatoid_arthritis,PD-L1,382.791,3.165,1
obesity,5-HT1A,400.977,2.612,1
schizophrenia,NMDA,493.48,4.084,1
depression,TNF_alpha,435.844,2.202,0
lung_cancer,PD-1,520.728,2.049,0
melanoma,NMDA,408.591,3.224,1
melanoma,HER2,171.535,2.13,0
asthma,VEGF,410.845,4.044,1
lung_cancer,BRAF,318.848,3.463,1
lymphoma,PD1,497.252,4.109,1
schizophrenia,mTOR,482.449,3.715,1
lymphoma,TNF_alpha,535.334,4.169,1
schizophrenia,SGLT2,398.065,3.481,1
asthma,BRAF,436.631,3.147,0
migraine,GLP-1R,394.837,3.495,0
prostate_cancer,GLP-1R,452.3,4.278,0
migraine,PD-1,515.42,1.511,1
schizophrenia,mTOR,341.212,3.746,0
type2_diabetes,PD-1,569.611,3.214,0
psoriasis,mTOR,469.951,4.577,1
obesity,PD-1,546.719,1.559,1
rheumatoid_arthritis,HER2,414.285,3.194,0
migraine,HER2,420.963,3.175,1
lymphoma,D2,545.604,1.477,0
lung_cancer,NMDA,479.368,2.474,0
colorectal_cancer,mTOR,575.242,2.934,0
depression,GIPR,313.921,2.594,0
lung_cancer,TNF_alpha,334.159,0.801,0
melanoma,VEGF,501.891,3.987,0
migraine,D2,469.504,2.436,0
lung_cancer,IL-6,432.207,1.853,1
lymphoma,PD-1,597.731,1.93,1
depression,IL-6,521.831,2.793,0
asthma,mTOR,349.877,4.444,1
copd,HER2,490.44,2.971,0
breast_cancer,ALK,477.418,3.457,1
migraine,EGFR,486.794,3.608,1
schizophrenia,D2,465.722,3.709,1
asthma,IL-6,367.543,2.95,0
schizophrenia,TNF_alpha,395.889,4.801,0
rheumatoid_arthritis,NMDA,390.733,2.986,0
depression,ALK,517.251,2.347,0
melanoma,TNF_alpha,427.848,2.975,0
colorectal_cancer,BRAF,413.815,0.576,0
prostate_cancer,TNF_alpha,531.882,1.906,1
colon_cancer,ALK,372.642,2.952,0
copd,EGFR,642.162,2.977,1
migraine,BRAF,432.323,3.027,0
lymphoma,D2,379.895,3.038,0
psoriasis,GLP-1R,369.87,2.719,0
type2_diabetes,PD-L1,529.111,3.623,0
rheumatoid_arthritis,SGLT2,561.948,3.925,0
migraine,PD1,594.958,3.358,1
migraine,ALK,521.615,3.635,0
colorectal_cancer,GIPR,459.163,3.95,1
lung_cancer,HER2,616.021,2.311,1
colon_cancer,GABA_A,420.438,3.205,0
lymphoma,GABA_A,397.887,2.516,1
colon_cancer,GABA_A,367.474,2.471,0
asthma,PD1,448.052,5.142,1
rheumatoid_arthritis,TNF_alpha,375.343,3.753,1
migraine,ALK,453.04,3.12,0
lymphoma,IL-6,409.82,3.212,0
migraine,SGLT2,429.41,1.331,1
colon_cancer,GLP-1R,524.63,3.873,0
melanoma,GIPR,351.939,1.536,0
psoriasis,D2,325.055,5.002,1
lymphoma,EGFR,536.294,2.961,1
melanoma,EGFR,319.364,2.427,0
colon_cancer,ALK,568.123,4.38,1
depression,IL-6,482.13,2.314,1
migraine,SGLT2,405.976,2.328,1
colorectal_cancer,SGLT2,475.904,2.709,0
migraine,PD-L1,493.488,2.629,0
melanoma,VEGF,271.246,3.235,0
schizophrenia,SGLT2,421.005,1.88,1
colon_cancer,ALK,514.583,1.754,0
psoriasis,NMDA,412.584,3.347,1
melanoma,5-HT1A,325.528,2.728,0
colon_cancer,GLP-1R,456.146,1.717,0
asthma,HER2,429.26,4.234,1
breast_cancer,GABA_A,570.061,3.85,0
schizophrenia,VEGF,517.766,4.223,0
rheumatoid_arthritis,HER2,480.555,3.43,1
depression,PD1,425.735,3.38,0
schizophrenia,BRAF,444.272,2.963,0
schizophrenia,PD-1,439.527,1.965,1
psoriasis,NMDA,456.291,1.002,0
obesity,D2,461.147,3.453,1
depression,NMDA,529.841,0.104,0
psoriasis,TNF_alpha,380.309,3.403,0
migraine,PD-L1,538.655,1.96,0
breast_cancer,SGLT2,472.126,2.349,0
colon_cancer,NMDA,434.745,3.217,1
melanoma,NMDA,447.529,5.003,1
colorectal_cancer,PD-L1,466.088,4.051,0
type2_diabetes,5-HT1A,465.805,3.449,0
rheumatoid_arthritis,PD1,501.098,1.857,0
breast_cancer,GIPR,388.27,3.297,0
type2_diabetes,PD-1,444.869,3.329,1
schizophrenia,SGLT2,477.248,4.435,1
breast_cancer,GIPR,430.467,3.964,0
melanoma,mTOR,533.754,3.57,1
copd,IL-6,426.195,4.376,1
rheumatoid_arthritis,TNF_alpha,459.64,1.971,0
colorectal_cancer,5-HT1A,362.298,1.56,0
lymphoma,GABA_A,379.187,4.553,0
migraine,mTOR,398.883,1.677,0
asthma,mTOR,463.576,2.3,0
psoriasis,BRAF,394.948,5.252,0
lymphoma,D2,454.731,4.126,0
rheumatoid_arthritis,D2,338.834,1.355,0
copd,TNF_alpha,636.29,3.725,1
migraine,VEGF,497.58,3.853,1
melanoma,PD1,429.785,3.392,1
schizophrenia,TNF_alpha,389.683,2.719,0
lymphoma,SGLT2,380.354,2.016,0
copd,PD-L1,464.392,4.392,1
lung_cancer,VEGF,571.161,3.773,0
copd,BRAF,371.401,2.775,0
melanoma,PD1,372.464,3.551,0
obesity,VEGF,401.891,3.32,0
melanoma,5-HT1A,561.793,2.925,0
migraine,IL-6,460.018,2.571,1
schizophrenia,EGFR,546.492,3.384,1
rheumatoid_arthritis,mTOR,393.841,2.337,0
schizophrenia,PD-1,541.954,2.699,1
obesity,mTOR,350.491,2.307,0
prostate_cancer,SGLT2,514.232,2.44,0
obesity,GIPR,396.121,3.279,0
lymphoma,PD-L1,627.816,1.762,0
lymphoma,PD1,500.702,3.414,0
breast_cancer,NMDA,547.967,4.623,1
schizophrenia,PD-L1,405.401,1.63,1
prostate_cancer,EGFR,475.151,2.998,0
schizophrenia,ALK,385.706,4.639,0
copd,VEGF,528.111,4.104,1
obesity,D2,495.519,4.628,0
rheumatoid_arthritis,D2,361.938,2.289,0
type2_diabetes,SGLT2,452.727,2.23,0
asthma,EGFR,400.255,3.701,1
psoriasis,EGFR,476.47,3.834,1
colon_cancer,TNF_alpha,356.192,1.767,1
melanoma,NMDA,583.806,3.419,1
prostate_cancer,BRAF,457.715,2.319,1
obesity,mTOR,493.1,2.079,0
prostate_cancer,NMDA,376.803,3.081,0
schizophrenia,mTOR,391.158,4.236,1
breast_cancer,BRAF,407.287,1.593,0
lymphoma,IL-6,547.048,3.142,1
lymphoma,BRAF,390.066,3.225,1
psoriasis,D2,460.683,2.848,0
colorectal_cancer,SGLT2,364.352,2.11,0
depression,IL-6,303.104,3.508,0
asthma,ALK,622.459,1.869,0
obesity,ALK,449.514,3.838,1
migraine,PD-1,419.213,3.464,1
ovarian_cancer,PD1,456.546,2.901,0
copd,GLP-1R,495.475,3.6,0
type2_diabetes,PD1,436.003,2.244,0
depression,GABA_A,367.074,4.313,1
depression,BRAF,536.872,3.475,0
prostate_cancer,GLP-1R,647.19,2.7,1
schizophrenia,EGFR,450.828,1.688,0
lymphoma,SGLT2,420.263,2.008,0
melanoma,SGLT2,454.532,3.53,1
melanoma,5-HT1A,305.807,2.353,0
rheumatoid_arthritis,IL-6,374.853,2.856,0
depression,BRAF,493.209,1.718,0
rheumatoid_arthritis,PD-1,432.925,4.491,0
migraine,PD1,404.908,2.589,0
melanoma,SGLT2,400.928,2.698,0
migraine,GIPR,451.255,2.271,1
prostate_cancer,TNF_alpha,484.955,4.191,1
colorectal_cancer,GLP-1R,489.962,5.289,0
prostate_cancer,PD-1,340.65,2.775,0
migraine,IL-6,546.625,2.683,1
asthma,PD-L1,403.879,0.409,0
melanoma,5-HT1A,519.048,2.204,0
breast_cancer,TNF_alpha,331.687,3.183,0
migraine,GLP-1R,370.472,2.969,0
ovarian_cancer,GLP-1R,545.726,2.841,0
lung_cancer,HER2,354.555,2.96,0
copd,D2,436.164,4.712,0
breast_cancer,IL-6,380.014,0.724,1
rheumatoid_arthritis,ALK,396.474,4.04,1
ovarian_cancer,EGFR,322.069,2.593,1
colon_cancer,IL-6,622.585,2.394,1
obesity,PD1,472.123,3.799,0
depression,GIPR,452.56,2.247,0
copd,mTOR,457.092,4.722,1
ovarian_cancer,VEGF,420.774,3.185,0
type2_diabetes,HER2,385.801,4.299,0
depression,HER2,546.033,2.343,1
schizophrenia,IL-6,413.887,2.564,0
obesity,D2,544.856,3.719,0
rheumatoid_arthritis,BRAF,498.57,4.311,1
copd,GLP-1R,424.186,2.749,0
prostate_cancer,mTOR,501.335,4.225,1
ovarian_cancer,BRAF,398.519,3.928,1
prostate_cancer,5-HT1A,566.449,4.799,1
melanoma,mTOR,493.064,4.073,0
colorectal_cancer,SGLT2,494.546,2.79,0
ovarian_cancer,HER2,366.415,1.034,0
prostate_cancer,PD-1,496.355,3.148,0
colorectal_cancer,GLP-1R,432.3,2.723,1
schizophrenia,5-HT1A,342.756,3.913,0
obesity,GLP-1R,436.63,3.283,1
colon_cancer,SGLT2,547.099,2.86,0
migraine,PD1,503.031,4.173,0
colorectal_cancer,EGFR,476.102,3.03,1
breast_cancer,ALK,481.975,2.349,1
migraine,TNF_alpha,452.438,1.508,1
colorectal_cancer,D2,474.707,4.702,1
lymphoma,mTOR,298.066,3.078,0
copd,PD-L1,510.267,3.381,1
rheumatoid_arthritis,PD-1,400.21,3.478,1
psoriasis,EGFR,433.278,2.149,1
psoriasis,D2,470.853,1.599,0
schizophrenia,PD1,354.329,3.445,0
melanoma,ALK,472.239,4.455,0
ovarian_cancer,GIPR,387.208,3.648,1
rheumatoid_arthritis,SGLT2,334.011,1.894,0
lymphoma,PD-1,507.791,2.627,1
colorectal_cancer,PD-1,384.625,0.906,1
ovarian_cancer,ALK,467.975,3.933,0
prostate_cancer,HER2,584.487,2.249,0
lung_cancer,D2,327.947,4.263,1
rheumatoid_arthritis,BRAF,464.489,2.164,0
lung_cancer,5-HT1A,404.86,3.185,0
breast_cancer,NMDA,598.905,4.887,1
lymphoma,EGFR,531.925,3.593,0
lung_cancer,BRAF,449.437,4.312,0
lung_cancer,GIPR,436.385,2.547,0
lymphoma,NMDA,525.826,3.682,0
copd,5-HT1A,358.665,2.806,0
melanoma,EGFR,382.539,2.865,0
copd,mTOR,571.076,3.631,1
melanoma,GABA_A,465.188,3.577,0
colorectal_cancer,5-HT1A,547.683,3.582,0
copd,5-HT1A,541.793,2.696,0
ovarian_cancer,GLP-1R,600.767,4.543,0
obesity,5-HT1A,337.134,1.826,0
depression,HER2,461.271,1.232,0
breast_cancer,EGFR,532.637,2.805,1
psoriasis,VEGF,491.088,2.467,0
colorectal_cancer,BRAF,361.087,2.948,0
schizophrenia,SGLT2,447.799,4.772,0
ovarian_cancer,VEGF,522.014,3.778,0
colorectal_cancer,SGLT2,370.129,3.302,0
type2_diabetes,GLP-1R,478.279,3.122,0
breast_cancer,VEGF,441.988,2.796,0
migraine,SGLT2,478.402,2.779,0
asthma,ALK,523.087,2.197,0
schizophrenia,PD-L1,407.914,2.986,0
psoriasis,D2,256.061,3.884,0
schizophrenia,SGLT2,469.766,3.087,0
colon_cancer,BRAF,324.996,2.471,0
obesity,EGFR,361.168,3.567,1
colon_cancer,EGFR,487.314,2.964,1
melanoma,mTOR,385.326,2.685,0
obesity,PD-L1,391.233,2.19,1
type2_diabetes,IL-6,531.4,5.663,0
rheumatoid_arthritis,VEGF,484.305,3.693,0
psoriasis,D2,480.359,4.812,0
colorectal_cancer,mTOR,364.229,0.079,0
lung_cancer,PD1,414.13,5.01,0
rheumatoid_arthritis,GLP-1R,499.532,5.057,0
psoriasis,NMDA,561.778,3.057,1
rheumatoid_arthritis,PD-L1,398.323,2.201,0
psoriasis,D2,542.955,2.232,0
obesity,PD1,475.846,2.748,1
obesity,HER2,421.162,3.511,1
ovarian_cancer,EGFR,520.649,2.922,1
schizophrenia,BRAF,372.124,2.995,0
colon_cancer,BRAF,415.891,4.148,1
colon_cancer,PD1,303.539,3.201,0
colorectal_cancer,PD-1,599.864,4.08,1
copd,mTOR,511.231,2.808,0
breast_cancer,mTOR,488.779,2.154,0
obesity,D2,516.705,2.572,1
psoriasis,PD-1,423.218,2.596,0
psoriasis,ALK,473.839,3.761,0
migraine,IL-6,615.002,1.932,0
ovarian_cancer,D2,465.322,3.241,0
type2_diabetes,GIPR,443.629,3.452,1
copd,TNF_alpha,541.899,4.432,1
lymphoma,D2,435.028,3.986,0
ovarian_cancer,mTOR,452.618,2.733,0
ovarian_cancer,D2,496.371,3.326,0
melanoma,GLP-1R,385.57,3.596,1
psoriasis,mTOR,463.477,4.318,1
asthma,HER2,425.707,1.045,1
asthma,GABA_A,280.252,2.392,0
melanoma,IL-6,410.131,3.993,0
obesity,PD-1,517.25,3.547,0
asthma,GABA_A,404.777,2.589,0
copd,PD-L1,579.23,2.678,1
colon_cancer,EGFR,328.524,4.244,1
asthma,BRAF,482.298,2.976,0
type2_diabetes,GIPR,479.795,2.21,0
prostate_cancer,PD1,412.831,3.201,0
rheumatoid_arthritis,NMDA,417.835,3.524,1
depression,PD-1,519.704,1.654,1
migraine,NMDA,295.111,3.126,0
colon_cancer,ALK,491.113,3.18,1
copd,GABA_A,507.889,3.667,1
breast_cancer,BRAF,482.785,2.759,0
melanoma,SGLT2,372.695,3.15,0
psoriasis,TNF_alpha,538.566,2.88,1
rheumatoid_arthritis,PD1,470.235,2.937,0
melanoma,GIPR,407.174,2.909,0
type2_diabetes,D2,432.251,3.422,1
ovarian_cancer,PD1,491.048,2.74,0
colorectal_cancer,IL-6,521.093,2.473,0
schizophrenia,VEGF,479.383,4.838,0
migraine,ALK,299.184,2.704,0
lymphoma,PD-L1,365.705,1.932,1
breast_cancer,5-HT1A,484.265,3.899,0
lung_cancer,IL-6,441.644,2.831,1
lung_cancer,EGFR,456.65,2.533,1
melanoma,IL-6,455.604,4.162,0
obesity,D2,477.802,4.164,0
asthma,TNF_alpha,528.016,3.501,1
psoriasis,GABA_A,502.263,5.688,1
copd,PD-L1,397.674,1.169,1
lymphoma,VEGF,520.864,3.23,0
ovarian_cancer,BRAF,578.982,4.315,1
prostate_cancer,ALK,368.846,3.783,0
psoriasis,5-HT1A,430.315,2.157,0
