indication,target,efficacy_label
breast_cancer,AR,2
als,BTK,2
hepatitis_c,CEA,1
stomach_cancer,ERK,2
atherosclerosis,CEA,0
myocardial_infarction,GABA_B,2
rheumatoid_arthritis,GLP-1R,1
stroke,CDK4,0
gout,BCMA,1
atherosclerosis,HER2,0
stomach_cancer,PD-1,2
ulcerative_colitis,CDK6,0
type1_diabetes,BRD4,2
autism,TIGIT,0
hepatitis_c,IL-4,0
hiv_aids,STAT,1
bladder_cancer,JAK,2
type2_diabetes,HER2,2
fibromyalgia,mTOR,1
hepatitis_c,GABA_B,0
kidney_disease,NF-kB,0
bipolar_disorder,5-HT2A,1
breast_cancer,BRAF,2
tuberculosis,GABA_B,0
lymphoma,BCR-ABL,2
migraine,GLP-1R,0
kidney_disease,TNF_alpha,2
ulcerative_colitis,5-HT2A,1
kidney_disease,c-MET,0
colon_cancer,GABA_B,0
cardiomyopathy,RAS,0
insomnia,TIM3,0
lupus,EGFR,2
hyperlipidemia,PD-1,1
asthma,BTK,1
influenza,AP-1,0
chronic_pain,VEGF,2
coronary_artery_disease,MR,1
parkinsons,RET,0
bipolar_disorder,CDK4,1
migraine,STAT,1
pneumonia,CD33,0
melanoma,AP-1,2
fibromyalgia,FGFR,1
malaria,RET,2
ovarian_cancer,TOP1,2
hepatitis_c,CDK6,2
crohns_disease,IL-6,0
lung_cancer,IL-6,2
hiv_aids,GCGR,0
cardiomyopathy,IL-13,2
sepsis,ER_alpha,0
rheumatoid_arthritis,HIF,1
hepatitis_b,ER_alpha,0
epilepsy,IL-4,0
autism,GIPR,0
type1_diabetes,IL-4,2
lung_cancer,ALK,0
hyperlipidemia,CTLA-4,1
hyperlipidemia,AMPA,0
pneumonia,HIF,1
liver_cancer,MEK,2
type1_diabetes,CD22,1
epilepsy,GABA_A,0
pneumonia,5-HT1A,1
esophageal_cancer,IGF1R,1
lung_cancer,TOP1,1
cervical_cancer,GR,1
ovarian_cancer,HER3,1
kidney_cancer,RAS,0
pancreatic_cancer,mTOR,2
crohns_disease,TNF_alpha,2
osteoporosis,RAS,2
kidney_disease,GLP-1R,0
liver_disease,NMDA,1
gout,PD-L1,1
covid_19,c-MET,0
type1_diabetes,c-MET,2
lung_cancer,BTK,2
hepatitis_c,p53,0
esophageal_cancer,CD47,0
hiv_aids,NOTCH,1
bipolar_disorder,NF-kB,1
epilepsy,IL-17,1
hiv_aids,CD47,1
adhd,CD20,1
heart_failure,CTLA-4,2
type2_diabetes,NMDA,0
hiv_aids,CD30,1
schizophrenia,mTOR,1
liver_cancer,MR,1
tuberculosis,LAG3,2
psoriasis,CDK6,2
sepsis,MYC,0
hiv_aids,VEGF,0
type2_diabetes,OX40,1
influenza,MR,0
insomnia,FGF,0
liver_cancer,PR,0
copd,ER_beta,0
copd,ERK,0
ovarian_cancer,HER4,2
pancreatic_cancer,BCMA,1
pancreatic_cancer,IL-17,2
alzheimers,SGLT2,0
adhd,Hedgehog,0
myocardial_infarction,JAK,1
heart_failure,OX40,0
pneumonia,OX40,0
lupus,mTOR,2
osteoporosis,CEA,2
chronic_pain,TOP1,1
obesity,TGF_beta,1
anxiety,BRD4,1
colon_cancer,NMDA,0
hyperlipidemia,IL-13,0
rheumatoid_arthritis,HER3,1
multiple_sclerosis,GIPR,1
pancreatic_cancer,GABA_A,2
sepsis,AKT,1
asthma,HIF,0
autism,Wnt,0
anxiety,FGFR,0
alzheimers,TOP1,0
chronic_pain,NOTCH,1
gout,NMDA,1
migraine,CEA,1
celiac_disease,CDK6,2
cardiomyopathy,STAT,0
leukemia,SGLT2,1
multiple_sclerosis,IL-23,2
esophageal_cancer,BRAF,2
hiv_aids,CD20,1
kidney_disease,TIGIT,2
arthritis,HIF,1
migraine,BCR-ABL,1
lupus,5-HT2A,2
stroke,CD20,1
melanoma,VEGF,2
rheumatoid_arthritis,CDK4,1
type2_diabetes,Wnt,0
stomach_cancer,NMDA,1
hypertension,HER3,2
brain_cancer,GIPR,2
hiv_aids,NMDA,1
multiple_sclerosis,HGF,0
liver_disease,D2,1
malaria,GABA_B,0
influenza,RET,0
epilepsy,BRD4,0
ovarian_cancer,OX40,2
hepatitis_c,NOTCH,1
stroke,MYC,1
brain_cancer,GPC3,1
hiv_aids,HDAC,1
migraine,NOTCH,1
lymphoma,LAG3,2
lung_cancer,Hedgehog,2
hypertension,HDAC,0
cervical_cancer,DNMT,0
depression,DNMT,0
stomach_cancer,GIPR,1
ulcerative_colitis,TIGIT,1
breast_cancer,DNMT,0
melanoma,CTLA-4,1
chronic_pain,GIPR,0
asthma,RAS,0
chronic_pain,VEGF,2
stroke,CD20,2
insomnia,NOTCH,1
lupus,D2,2
huntingtons,NTRK,0
autism,IL-4,1
asthma,CDK4,0
kidney_disease,BRD4,2
cervical_cancer,RET,2
heart_failure,PD1,0
prostate_cancer,GR,2
parkinsons,HDAC,1
atherosclerosis,TNF_alpha,2
breast_cancer,EGFR,2
hyperlipidemia,c-MET,0
hepatitis_c,CTLA-4,1
coronary_artery_disease,5-HT1A,1
sepsis,GPC3,0
insomnia,GLP-1R,1
rheumatoid_arthritis,BRAF,2
hyperlipidemia,TOP2,1
esophageal_cancer,LAG3,0
heart_failure,VEGFR,0
hypertension,CD47,0
covid_19,HDAC,1
insomnia,MR,0
kidney_disease,IL-4,2
tuberculosis,PR,1
bladder_cancer,TIGIT,0
pneumonia,HER3,1
anxiety,BTK,0
alzheimers,p53,2
arthritis,CTLA-4,1
prostate_cancer,GIPR,0
pneumonia,VEGF,2
brain_cancer,NOTCH,1
lung_cancer,HER3,2
coronary_artery_disease,HER4,1
thyroid_cancer,GLP-1R,1
osteoporosis,RAS,0
brain_cancer,HER2,1
celiac_disease,IL-4,2
adhd,c-MET,2
schizophrenia,IL-6,0
type2_diabetes,IGF1R,1
thyroid_cancer,TOP2,1
asthma,EGFR,0
chronic_pain,GLP-1R,1
stroke,CD30,0
hepatitis_c,CDK6,0
als,RAS,1
heart_failure,CD22,1
cervical_cancer,VEGFR,2
thyroid_cancer,GPC3,2
hypertension,JAK,2
sepsis,FGFR,1
colorectal_cancer,IL-17,0
type1_diabetes,CD38,2
influenza,JAK,0
tuberculosis,GCGR,2
insomnia,GR,2
stroke,CDK4,1
stomach_cancer,HIF,1
multiple_sclerosis,NF-kB,2
epilepsy,FGF,1
hepatitis_b,IL-6,0
sepsis,IL-13,0
copd,PARP,2
chronic_pain,PD-1,2
lung_cancer,CD19,2
prostate_cancer,CD19,2
rheumatoid_arthritis,5-HT2A,1
ovarian_cancer,Wnt,2
bipolar_disorder,NOTCH,1
hyperlipidemia,HGF,1
obesity,Wnt,0
lung_cancer,p53,2
multiple_sclerosis,HER2,2
stroke,PR,0
autism,FGF,1
insomnia,ER_beta,1
pneumonia,CD19,1
breast_cancer,MR,1
kidney_disease,ALK,0
atherosclerosis,GPC3,0
pneumonia,CD47,0
ovarian_cancer,ROS1,2
depression,CEA,0
multiple_sclerosis,TOP1,2
thyroid_cancer,STAT,0
schizophrenia,VEGF,0
huntingtons,mTOR,0
schizophrenia,GLP-1R,1
coronary_artery_disease,BRAF,1
lymphoma,TGF_beta,0
parkinsons,GABA_A,1
kidney_disease,EGF,2
stomach_cancer,CD20,1
malaria,SGLT2,0
kidney_cancer,AKT,2
obesity,GIPR,0
asthma,TIM3,1
insomnia,ER_beta,1
malaria,ER_alpha,1
huntingtons,p53,1
colon_cancer,TOP2,0
arthritis,HDAC,1
arrhythmia,STAT,0
chronic_pain,BTK,2
liver_disease,JAK,0
chronic_pain,PR,2
melanoma,PDGFR,2
hypertension,CEA,0
stomach_cancer,GPC3,2
lupus,CD22,1
bipolar_disorder,CD47,1
heart_failure,p53,1
obesity,RET,0
obesity,5-HT2A,0
cervical_cancer,NF-kB,1
hyperlipidemia,STAT,0
migraine,CD20,1
sepsis,ALK,1
liver_disease,TNF_alpha,0
autism,VEGF,2
kidney_disease,Wnt,1
colon_cancer,AP-1,2
kidney_disease,PARP,0
hepatitis_c,PI3K,0
rheumatoid_arthritis,IL-1,2
pancreatic_cancer,TGF_beta,1
copd,JAK,1
stroke,TNF_alpha,1
influenza,AMPA,1
gout,MR,1
hepatitis_c,IGF1R,0
migraine,PR,2
malaria,BCMA,0
epilepsy,CD30,2
rheumatoid_arthritis,BTK,2
alzheimers,AR,1
hiv_aids,CD33,1
fibromyalgia,BCR-ABL,2
fibromyalgia,TGF_beta,0
hepatitis_b,HER4,1
adhd,GIPR,2
colorectal_cancer,CD33,2
crohns_disease,CD22,2
anxiety,CD33,0
hepatitis_c,TGF_beta,0
crohns_disease,GABA_B,0
pancreatic_cancer,PDGFR,0
autism,NOTCH,1
melanoma,PD-L1,2
psoriasis,PD-1,1
arthritis,c-MET,1
rheumatoid_arthritis,VEGFR,2
atherosclerosis,NTRK,2
parkinsons,CD20,1
prostate_cancer,BRAF,2
liver_disease,TIM3,0
chronic_pain,GIPR,1
liver_disease,IL-13,2
ulcerative_colitis,GPC3,1
pneumonia,CD19,1
celiac_disease,Wnt,2
gout,MEK,1
hepatitis_b,IL-6,0
rheumatoid_arthritis,IL-4,1
breast_cancer,HER2,1
huntingtons,IL-1,2
sepsis,BCR-ABL,0
bladder_cancer,BTK,1
migraine,CD33,1
lung_cancer,mTOR,0
malaria,mTOR,2
parkinsons,AR,2
leukemia,Hedgehog,0
tuberculosis,ERK,0
stomach_cancer,ER_alpha,2
lymphoma,RET,1
influenza,SGLT2,0
parkinsons,RET,2
anxiety,TIM3,2
hypertension,ALK,0
leukemia,HGF,0
depression,CD47,1
osteoporosis,BCR-ABL,0
anxiety,BTK,1
gout,IL-13,1
lupus,CDK6,1
liver_disease,ROS1,1
asthma,CDK4,0
asthma,p53,0
prostate_cancer,c-MET,1
prostate_cancer,JAK,1
type1_diabetes,CD22,1
celiac_disease,GLP-1R,1
stroke,PDGFR,1
arthritis,ER_alpha,0
atherosclerosis,5-HT1A,0
gout,CD38,1
kidney_cancer,HER3,0
thyroid_cancer,MEK,1
multiple_sclerosis,PI3K,2
tuberculosis,RET,2
malaria,BRAF,0
arthritis,MEK,0
bipolar_disorder,HER2,1
osteoporosis,VEGF,1
celiac_disease,IL-4,0
liver_disease,CEA,2
rheumatoid_arthritis,IGF1R,0
cardiomyopathy,FGFR,1
osteoporosis,PDGFR,0
leukemia,HGF,0
covid_19,BRAF,1
celiac_disease,PDGFR,1
lymphoma,HIF,2
colorectal_cancer,FGF,0
huntingtons,EGF,0
copd,Wnt,0
thyroid_cancer,NMDA,1
psoriasis,ROS1,2
liver_disease,TOP2,0
prostate_cancer,BCR-ABL,1
kidney_disease,GIPR,1
malaria,PD-1,0
schizophrenia,MYC,0
migraine,GLP-1R,0
brain_cancer,TNF_alpha,1
myocardial_infarction,NMDA,1
arthritis,MYC,2
epilepsy,HER3,1
tuberculosis,CDK4,2
psoriasis,CD20,2
lupus,BRD4,1
crohns_disease,AP-1,1
prostate_cancer,MR,2
coronary_artery_disease,IGF1R,0
insomnia,IL-17,1
lupus,p53,2
lung_cancer,BCR-ABL,1
myocardial_infarction,GLP-1R,0
copd,HER4,0
colorectal_cancer,HIF,1
obesity,CD33,1
bladder_cancer,HDAC,1
lung_cancer,CD33,2
ulcerative_colitis,BTK,2
parkinsons,PD-L1,0
melanoma,HDAC,0
gout,HGF,2
stroke,DNMT,0
colon_cancer,CDK4,0
breast_cancer,PD-1,2
ulcerative_colitis,AMPA,1
chronic_pain,TIGIT,0
coronary_artery_disease,D2,2
covid_19,MR,0
melanoma,p53,2
prostate_cancer,TNF_alpha,0
psoriasis,ER_beta,1
leukemia,NOTCH,2
epilepsy,IL-1,1
prostate_cancer,NMDA,1
multiple_sclerosis,PD-1,1
coronary_artery_disease,EGF,2
colon_cancer,GABA_A,0
stomach_cancer,IL-1,1
cardiomyopathy,PD1,2
insomnia,BRD4,1
hypertension,MYC,2
colorectal_cancer,MEK,0
heart_failure,MYC,2
anxiety,JAK,0
tuberculosis,IL-1,0
bladder_cancer,IL-1,0
liver_cancer,CD19,2
lung_cancer,CD47,0
insomnia,NOTCH,1
colon_cancer,NOTCH,1
adhd,BRD4,0
gout,CDK4,1
ulcerative_colitis,LAG3,0
insomnia,FGF,0
asthma,FGF,1
rheumatoid_arthritis,BCR-ABL,0
thyroid_cancer,TIGIT,2
type1_diabetes,SGLT2,0
colorectal_cancer,GPC3,1
malaria,FGF,1
depression,mTOR,1
ulcerative_colitis,IGF1R,0
ulcerative_colitis,PR,1
tuberculosis,RAS,0
sepsis,AP-1,1
migraine,GABA_A,2
malaria,BCR-ABL,0
cardiomyopathy,STAT,1
lung_cancer,CD38,0
lupus,VEGFR,1
schizophrenia,NTRK,1
colon_cancer,BCR-ABL,2
rheumatoid_arthritis,AMPA,0
arthritis,EGF,2
liver_cancer,HDAC,1
sepsis,GABA_A,0
epilepsy,GLP-1R,0
asthma,Wnt,0
cervical_cancer,IL-1,1
osteoporosis,MR,2
myocardial_infarction,HGF,2
thyroid_cancer,PARP,1
type2_diabetes,GCGR,2
parkinsons,BRD4,1
depression,PR,0
cardiomyopathy,BRD4,0
kidney_cancer,HDAC,1
parkinsons,CEA,1
lymphoma,MYC,0
malaria,TNF_alpha,2
influenza,VEGF,2
atherosclerosis,BRAF,1
osteoporosis,IGF1R,1
coronary_artery_disease,ALK,0
prostate_cancer,AMPA,0
hepatitis_c,VEGFR,0
myocardial_infarction,ROS1,0
copd,p53,1
migraine,IL-1,1
bipolar_disorder,SGLT2,0
melanoma,IL-23,0
influenza,FGFR,2
anxiety,D2,1
myocardial_infarction,RET,0
hyperlipidemia,MYC,0
insomnia,OX40,0
colon_cancer,BRAF,1
prostate_cancer,BTK,2
liver_cancer,mTOR,1
autism,RAS,1
kidney_disease,CDK6,1
crohns_disease,IGF1R,1
cervical_cancer,EGF,1
hepatitis_c,PARP,0
migraine,NMDA,2
chronic_pain,TNF_alpha,2
autism,HDAC,0
stomach_cancer,PDGFR,1
ovarian_cancer,SGLT2,0
liver_cancer,VEGFR,0
schizophrenia,PD1,0
depression,CD33,1
atherosclerosis,CD30,1
kidney_disease,CEA,0
heart_failure,HIF,2
type2_diabetes,GLP-1R,2
huntingtons,EGF,1
influenza,CD33,1
brain_cancer,PD-1,2
copd,CEA,1
lupus,ROS1,0
anxiety,BRD4,0
hyperlipidemia,Wnt,0
pancreatic_cancer,TOP1,2
thyroid_cancer,TOP2,2
kidney_disease,NTRK,0
osteoporosis,GR,1
atherosclerosis,CDK6,1
stomach_cancer,NMDA,0
colorectal_cancer,HER2,2
liver_cancer,HIF,2
chronic_pain,IL-1,1
cardiomyopathy,HER2,0
cervical_cancer,GCGR,1
colorectal_cancer,CD19,0
myocardial_infarction,TNF_alpha,1
coronary_artery_disease,HER3,2
liver_cancer,DNMT,1
thyroid_cancer,PD-L1,1
leukemia,PARP,0
obesity,PD-1,1
hepatitis_c,ERK,1
asthma,AR,0
sepsis,GLP-1R,1
cardiomyopathy,MEK,0
hyperlipidemia,IGF1R,1
melanoma,AP-1,1
epilepsy,IGF1R,1
bipolar_disorder,IL-17,1
influenza,TOP1,1
cervical_cancer,CD33,2
obesity,IL-1,1
lupus,RET,2
colorectal_cancer,EGF,1
osteoporosis,PD-1,0
arrhythmia,CD38,1
sepsis,PD1,1
type1_diabetes,CD38,1
liver_cancer,CDK6,1
kidney_disease,TGF_beta,0
type1_diabetes,PI3K,1
kidney_disease,NOTCH,2
migraine,HER4,1
pancreatic_cancer,STAT,1
anxiety,TIGIT,1
hepatitis_b,AR,1
covid_19,PDGFR,1
multiple_sclerosis,CD47,2
hiv_aids,AMPA,1
celiac_disease,DNMT,0
liver_cancer,JAK,1
fibromyalgia,IL-6,1
sepsis,BCMA,1
type2_diabetes,EGFR,1
stomach_cancer,PDGFR,1
crohns_disease,NF-kB,2
lupus,PR,0
hyperlipidemia,TNF_alpha,1
hiv_aids,GIPR,1
heart_failure,GR,1
fibromyalgia,OX40,0
lymphoma,RET,2
influenza,GLP-1R,0
multiple_sclerosis,IL-23,2
colorectal_cancer,GPC3,0
bladder_cancer,HIF,2
huntingtons,NTRK,0
hypertension,RET,1
colon_cancer,CD20,2
hepatitis_c,FGFR,0
ulcerative_colitis,ER_alpha,1
asthma,CD19,1
sepsis,CD19,1
colon_cancer,5-HT1A,2
coronary_artery_disease,IL-6,1
sepsis,NTRK,1
insomnia,HER3,0
atherosclerosis,BTK,1
hepatitis_b,PI3K,1
arrhythmia,CTLA-4,1
crohns_disease,AMPA,2
obesity,PARP,0
kidney_cancer,AMPA,0
cardiomyopathy,HER4,0
ulcerative_colitis,PARP,2
colon_cancer,PD-1,1
epilepsy,CD22,0
rheumatoid_arthritis,VEGFR,1
depression,5-HT2A,2
kidney_cancer,ROS1,2
epilepsy,CTLA-4,1
osteoporosis,LAG3,1
brain_cancer,IL-4,1
depression,CD38,1
hiv_aids,5-HT1A,0
hepatitis_c,MYC,1
lung_cancer,GR,1
als,GABA_B,2
hepatitis_c,BCMA,1
schizophrenia,HDAC,0
tuberculosis,HDAC,1
kidney_cancer,IL-1,1
heart_failure,CD38,1
rheumatoid_arthritis,TIM3,1
sepsis,PI3K,2
gout,FGFR,1
bladder_cancer,PDGFR,1
melanoma,BRAF,2
celiac_disease,BCMA,2
tuberculosis,EGF,1
copd,CEA,0
type2_diabetes,MR,0
fibromyalgia,STAT,1
type1_diabetes,MYC,2
rheumatoid_arthritis,CD33,1
rheumatoid_arthritis,ROS1,0
schizophrenia,p53,2
alzheimers,IL-23,0
adhd,ERK,1
arthritis,LAG3,0
autism,PR,2
autism,NOTCH,0
ovarian_cancer,D2,1
pancreatic_cancer,IL-1,2
multiple_sclerosis,MYC,2
multiple_sclerosis,IL-13,0
colon_cancer,Wnt,2
cervical_cancer,CTLA-4,2
obesity,PDGFR,0
heart_failure,5-HT1A,1
kidney_disease,NMDA,1
parkinsons,PI3K,0
hepatitis_b,FGFR,1
copd,GIPR,0
celiac_disease,AMPA,2
pancreatic_cancer,TNF_alpha,1
alzheimers,FGF,0
breast_cancer,TIGIT,0
asthma,FGFR,1
osteoporosis,MR,0
gout,BCMA,0
kidney_cancer,ER_beta,2
liver_cancer,SGLT2,1
liver_disease,FGF,0
colorectal_cancer,c-MET,2
ovarian_cancer,GR,0
crohns_disease,TOP2,2
thyroid_cancer,AR,2
multiple_sclerosis,PDGFR,1
pancreatic_cancer,IL-6,0
multiple_sclerosis,D2,1
sepsis,FGF,2
kidney_disease,CD47,2
atherosclerosis,RET,1
pancreatic_cancer,RET,2
myocardial_infarction,FGFR,0
lung_cancer,VEGFR,0
psoriasis,IL-1,0
epilepsy,AR,0
arthritis,BRAF,0
gout,NTRK,0
lung_cancer,GR,2
als,ERK,2
cervical_cancer,NTRK,2
fibromyalgia,IL-23,2
liver_disease,GLP-1R,0
malaria,HDAC,0
type1_diabetes,PARP,1
sepsis,HER2,2
migraine,HER2,1
heart_failure,CD47,0
pancreatic_cancer,GPC3,1
lung_cancer,ER_beta,0
hiv_aids,PARP,1
lupus,GABA_A,1
stroke,VEGFR,1
rheumatoid_arthritis,CEA,2
malaria,CEA,0
stroke,D2,2
atherosclerosis,PDGFR,0
bipolar_disorder,mTOR,0
adhd,IL-6,0
hepatitis_b,BCR-ABL,1
als,ERK,1
migraine,BCMA,1
stomach_cancer,c-MET,1
adhd,PI3K,1
als,AKT,1
influenza,PI3K,2
alzheimers,PD-1,2
pneumonia,CTLA-4,0
breast_cancer,PDGFR,0
epilepsy,TOP1,1
malaria,GCGR,1
bladder_cancer,IL-1,2
rheumatoid_arthritis,ROS1,1
heart_failure,GR,1
bladder_cancer,Wnt,2
arrhythmia,BTK,1
multiple_sclerosis,RAS,1
als,CEA,0
pneumonia,VEGFR,1
breast_cancer,PDGFR,2
hepatitis_b,ERK,2
sepsis,GCGR,0
bipolar_disorder,GIPR,2
arrhythmia,CTLA-4,2
liver_cancer,AKT,2
colorectal_cancer,IL-23,2
kidney_disease,CDK6,1
myocardial_infarction,p53,2
lung_cancer,IL-17,1
colon_cancer,BRD4,2
lymphoma,AR,0
hepatitis_b,BRAF,0
obesity,HER3,0
hypertension,MYC,1
malaria,RAS,2
pneumonia,D2,1
multiple_sclerosis,BRD4,2
kidney_cancer,FGFR,2
bladder_cancer,GCGR,0
copd,IL-17,0
cardiomyopathy,BTK,0
leukemia,MR,0
hypertension,CD20,0
depression,MEK,1
type1_diabetes,IL-6,0
brain_cancer,Hedgehog,2
liver_disease,IL-17,0
ovarian_cancer,IL-17,1
hiv_aids,SGLT2,1
multiple_sclerosis,CEA,0
kidney_disease,GCGR,1
autism,CEA,1
pancreatic_cancer,GR,1
bipolar_disorder,IGF1R,0
hiv_aids,TOP2,1
esophageal_cancer,NF-kB,0
kidney_disease,5-HT1A,2
lung_cancer,TOP1,1
lung_cancer,MR,0
colon_cancer,GR,0
esophageal_cancer,NTRK,1
obesity,HER2,0
stroke,SGLT2,1
liver_disease,IL-13,0
obesity,IGF1R,0
esophageal_cancer,TGF_beta,2
depression,RAS,0
schizophrenia,EGFR,1
kidney_cancer,BCR-ABL,2
ovarian_cancer,p53,1
kidney_disease,FGF,0
copd,LAG3,1
bipolar_disorder,MYC,2
stomach_cancer,STAT,1
tuberculosis,JAK,1
melanoma,PI3K,2
bladder_cancer,CD20,2
malaria,CEA,1
arthritis,ROS1,2
osteoporosis,HER4,2
pneumonia,CD20,0
hyperlipidemia,ER_alpha,1
type2_diabetes,RET,1
heart_failure,MYC,0
schizophrenia,p53,1
tuberculosis,CDK4,0
anxiety,NTRK,0
pancreatic_cancer,BRD4,0
colorectal_cancer,HIF,1
rheumatoid_arthritis,EGFR,1
lymphoma,NOTCH,0
psoriasis,HER2,0
arthritis,CD22,0
lupus,VEGFR,0
covid_19,FGFR,1
coronary_artery_disease,HER4,1
schizophrenia,ER_beta,1
depression,D2,2
pneumonia,IL-23,0
esophageal_cancer,MYC,2
myocardial_infarction,5-HT1A,1
fibromyalgia,GIPR,1
autism,SGLT2,0
depression,IGF1R,0
rheumatoid_arthritis,CD22,1
stroke,PDGFR,2
liver_cancer,TIGIT,1
obesity,TGF_beta,0
malaria,NF-kB,1
kidney_disease,TNF_alpha,1
colon_cancer,HER2,0
leukemia,CD22,1
colorectal_cancer,PD-L1,1
colon_cancer,SGLT2,0
depression,OX40,1
crohns_disease,RET,1
insomnia,CD38,0
psoriasis,TOP1,0
malaria,5-HT2A,1
epilepsy,IL-17,2
tuberculosis,Wnt,1
stroke,JAK,1
prostate_cancer,OX40,1
anxiety,ER_alpha,0
influenza,ER_alpha,1
covid_19,NF-kB,1
thyroid_cancer,RAS,2
celiac_disease,GCGR,1
melanoma,PR,2
arthritis,MR,1
parkinsons,CD20,1
hiv_aids,GR,2
arrhythmia,MYC,0
brain_cancer,MR,2
cervical_cancer,FGF,0
lymphoma,TNF_alpha,1
covid_19,TNF_alpha,0
fibromyalgia,EGFR,2
lymphoma,PI3K,1
covid_19,HER3,2
kidney_cancer,GPC3,2
type1_diabetes,p53,2
colon_cancer,IL-6,2
influenza,Wnt,0
chronic_pain,FGFR,0
liver_disease,FGFR,1
obesity,OX40,0
hypertension,TOP2,1
psoriasis,BRAF,2
brain_cancer,IL-4,1
influenza,IL-1,1
stroke,HER3,1
brain_cancer,NF-kB,2
malaria,BCR-ABL,1
obesity,ERK,2
gout,PARP,0
insomnia,HGF,1
chronic_pain,ROS1,2
lupus,AR,0
rheumatoid_arthritis,AKT,0
coronary_artery_disease,MR,1
parkinsons,EGF,2
chronic_pain,Wnt,0
influenza,BTK,1
huntingtons,BRD4,0
covid_19,AR,0
leukemia,ER_beta,1
brain_cancer,CD19,0
stomach_cancer,BRAF,0
heart_failure,PD1,1
als,5-HT2A,2
cervical_cancer,LAG3,2
stomach_cancer,BRAF,1
brain_cancer,CD20,0
migraine,GR,0
colon_cancer,VEGFR,2
colorectal_cancer,BCR-ABL,2
als,TNF_alpha,1
prostate_cancer,HIF,2
copd,IL-6,1
prostate_cancer,ERK,0
breast_cancer,CD38,2
myocardial_infarction,HIF,2
liver_cancer,CD38,1
bladder_cancer,FGFR,2
insomnia,ALK,2
kidney_disease,EGFR,1
type1_diabetes,DNMT,1
kidney_cancer,VEGFR,0
hepatitis_c,PARP,0
hepatitis_c,PARP,1
bipolar_disorder,PDGFR,2
als,IGF1R,2
chronic_pain,IL-17,2
pancreatic_cancer,IGF1R,2
crohns_disease,NOTCH,2
bipolar_disorder,AKT,1
als,GABA_B,1
atherosclerosis,IL-23,1
tuberculosis,JAK,1
osteoporosis,BRD4,1
copd,GIPR,0
bladder_cancer,PD-L1,2
copd,PI3K,0
autism,HDAC,1
hepatitis_c,BCMA,0
pneumonia,CD22,1
atherosclerosis,HDAC,1
crohns_disease,CD30,0
colon_cancer,5-HT2A,0
lymphoma,PD1,1
hyperlipidemia,CEA,0
hypertension,CD30,1
anxiety,HER4,2
hypertension,PDGFR,0
bipolar_disorder,PARP,1
melanoma,BCMA,1
covid_19,IL-1,0
cardiomyopathy,SGLT2,1
celiac_disease,ER_beta,1
adhd,AP-1,2
als,FGFR,0
melanoma,IL-17,2
crohns_disease,AMPA,1
pancreatic_cancer,ER_alpha,0
pancreatic_cancer,HER2,1
bipolar_disorder,SGLT2,0
tuberculosis,p53,2
crohns_disease,ER_alpha,2
arthritis,IL-4,0
schizophrenia,GLP-1R,1
leukemia,HER3,0
rheumatoid_arthritis,5-HT2A,0
kidney_cancer,ROS1,2
hiv_aids,NMDA,0
thyroid_cancer,EGF,1
hiv_aids,CDK4,0
ovarian_cancer,ALK,1
lymphoma,VEGF,2
als,HER4,0
multiple_sclerosis,HDAC,0
ulcerative_colitis,FGF,1
atherosclerosis,CD47,1
brain_cancer,AP-1,2
type2_diabetes,IL-6,1
migraine,NF-kB,2
bladder_cancer,STAT,0
